uuid,vendedor_uuid,loja_uuid,loja_codigo,loja_nome,codigo_vendedor_sistema,ativo,data_inicio,data_fim
4e2e7e8d-e4f9-40fe-8dcd-237d0080846b,9ee0c5d8-b45a-4a18-ad45-29ad2c195937,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48ANDSOU,True,2023-01-01,
62e0d4ba-0cb4-43a6-85b3-d1216b9e7aae,0b2dca92-d8e6-4c8a-88d9-48f5c6b5ad8a,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48ETH,True,2023-01-01,
3124790d-353e-41e0-a85f-afb3215a75e4,2a13e1f0-32dc-4d4f-a326-9fc93704bf1f,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48ERICAS,True,2023-01-01,
63bd2e89-d653-4921-a3c8-c4e0917fc37e,8851c1bf-6259-4371-9782-b1fb4c6e59e3,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48GARA,True,2023-01-01,
0650d588-624b-40d6-a28b-ccd7b6a12dd6,0cc9561e-78f8-49ca-994c-0cd30f1d8563,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48LARI,True,2023-01-01,
580f648c-a386-4ec3-9f91-bc4cd81e53fa,75d8d166-4090-4378-96f7-a7203bcf8e1d,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48LUAN,True,2023-01-01,
30e10ea7-4f99-4d72-b34d-3939c4e69b73,6e860343-3e25-4a82-a206-4758c36aeb00,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48MARSIL,True,2023-01-01,
414fcb67-4b79-4b00-9c08-31742baad390,5492deb2-2680-4836-a715-f8e8ae7e7f97,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48RENNAZ,True,2023-01-01,
019ac407-1d70-4f00-ad5a-694a01485522,47ded0cf-daad-415f-bc27-3c98a18e218b,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48ROGÉ,True,2023-01-01,
d9e93bfa-97b1-4915-bde4-661bb5ece532,23fc6335-1ebd-449b-a5c4-b27106bde6d5,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48TATY,True,2023-01-01,
ffcab392-4806-4855-9b43-5e3e36c77d63,23ceeb10-0195-4eda-8dcd-934997ef5cf6,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,048,Mauá,VEN48WEVE,True,2023-01-01,
ef8bc697-b44a-44e1-a0cd-a85387cabe65,afee1d1c-d69f-4b0f-81e9-3260d427f60c,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9ANA,True,2023-01-01,
e8762249-c0a6-460d-8365-3231c90cf279,c1629499-3949-4c61-a4de-3b2e1b11bc19,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9ARIA,True,2023-01-01,
bb52deb7-27c5-4204-8058-a14df6b185a8,a549cbf3-5598-48d8-b00e-4cda4fca7a9e,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9ERIK,True,2023-01-01,
73dd5af3-4bb9-4725-adbe-3422db1946c8,9a1505b1-2abc-424c-9d19-70d3dde91b78,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9JOAN,True,2023-01-01,
e384bcb1-852a-4fef-8a61-255c573520b8,0cc9561e-78f8-49ca-994c-0cd30f1d8563,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9LARI,True,2023-01-01,
2663d584-cf0b-46c2-a4ba-8c3a2014bc73,75d8d166-4090-4378-96f7-a7203bcf8e1d,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9LUAN,True,2023-01-01,
744f83e1-55ce-4bc0-8089-ea027dc4ea54,6b293cd6-8880-4538-b68c-04261e594947,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9MARI,True,2023-01-01,
26ea802a-2e71-43bc-b765-607931f2c802,87133dca-e9d5-4afd-8afb-2f5a32f6ba8d,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9NAN,True,2023-01-01,
630112af-53df-4c96-ab33-9d5d54d9c9d7,47ded0cf-daad-415f-bc27-3c98a18e218b,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9ROGE,True,2023-01-01,
c586be3e-34b5-41f1-b251-e4ec2032e178,c5080cad-498f-4f67-b0b8-3d2d269e1a0f,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9SAMU,True,2023-01-01,
5f7e7540-7a2b-4002-b947-50b9d8f901ef,aaaed13d-8525-496b-bb63-539d53b215a5,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9SAND,True,2023-01-01,
fa0c0ad2-87b9-4c50-bd24-f8d9457449b8,23fc6335-1ebd-449b-a5c4-b27106bde6d5,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9TATY,True,2023-01-01,
eed63932-9c67-4249-acd2-aebcccf64fd0,23ceeb10-0195-4eda-8dcd-934997ef5cf6,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9WEVI,True,2023-01-01,
e1eb3777-5e81-4636-8d9c-1d09270e2da1,91463f30-2e94-4caf-a6bc-fe05751488ea,da3978c9-bba2-431a-91b7-970a406d3acf,009,Perus,VEN9WILL,True,2023-01-01,
d5846e42-572b-4042-816e-fbbd4db4595a,e9a3f24a-5d63-499e-bcb9-04f337f8755a,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11BRUN,True,2023-01-01,
a376d506-ceed-42e4-9e97-37f24bf839dc,8851c1bf-6259-4371-9782-b1fb4c6e59e3,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11GARA,True,2023-01-01,
7fc93130-136f-482b-8f99-660713c16700,c39ed723-4cea-4032-be28-9879c0a1f506,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11KERE,True,2023-01-01,
031cf48a-a2c2-4304-8664-e5224506be03,0cc9561e-78f8-49ca-994c-0cd30f1d8563,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11LARI,True,2023-01-01,
c289e96d-6d05-4f67-b967-5c88d26234ab,d91a52b1-040e-4394-9603-c2f11585bd4c,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11MARRAM,True,2023-01-01,
f67485c1-52f3-4248-b155-4af82a7cb661,47ded0cf-daad-415f-bc27-3c98a18e218b,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11R0GE,True,2023-01-01,
cb939744-ee36-4586-95bb-139e34a08c04,2b8a5584-581f-43dc-8c47-8e6f265a9e30,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11ROSA,True,2023-01-01,
83ea4aed-c967-41e0-914c-e443f7f23397,23fc6335-1ebd-449b-a5c4-b27106bde6d5,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,011,Rio Pequeno,VEN11TATY,True,2023-01-01,
