os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem
4098,3,399.0,35,ENTREGA_CARNE,2,"[4098, 3, 399]",2024-04-02,,maua,abr_24.xlsx
4033,6,1884.0,35,ENTREGA_CARNE,5,"[4033, 6, 1884]",2024-04-05,,maua,abr_24.xlsx
4125,5,1000.0,35,ENTREGA_CARNE,13,"[4125, 5, 1000]",2024-04-13,,maua,abr_24.xlsx
4084,5,140.0,35,ENTREGA_CARNE,18,"[4084, 5, 140]",2024-04-18,,maua,abr_24.xlsx
4168,1,130.0,35,ENTREGA_CARNE,20,"[4168, 1, 130]",2024-04-20,,maua,abr_24.xlsx
4169,5,700.0,36,ENTREGA_CARNE,20,"[4169, 5, 700]",2024-04-20,,maua,abr_24.xlsx
4083,5,700.0,35,ENTREGA_CARNE,23,"[4083, 5, 700]",2024-04-23,,maua,abr_24.xlsx
4030,3,640.0,35,ENTREGA_CARNE,22,"[4030, 3, 640]",2024-04-22,,maua,abr_24.xlsx
4179,2,350.0,35,ENTREGA_CARNE,26,"[4179, 2, 350]",2024-04-26,,maua,abr_24.xlsx
4141,3,453.0,36,ENTREGA_CARNE,26,"[4141, 3, 453]",2024-04-26,,maua,abr_24.xlsx
4182,5,555.0,35,ENTREGA_CARNE,30,"[4182, 5, 555]",2024-04-30,,maua,abr_24.xlsx
4181,5,555.0,36,ENTREGA_CARNE,30,"[4181, 5, 555]",2024-04-30,,maua,abr_24.xlsx
4161,5,750.0,37,ENTREGA_CARNE,30,"[4161, 5, 750]",2024-04-30,,maua,abr_24.xlsx
4846,6,599.0,35,ENTREGA_CARNE,12,"[4846, 6, 599]",2025-04-12,MAUÁ,maua,abr_25.xlsx
4847,6,599.0,36,ENTREGA_CARNE,12,"[4847, 6, 599]",2025-04-12,MAUÁ,maua,abr_25.xlsx
4847,1,,36,ENTREGA_CARNE,18,"['', 1, '']",2025-04-18,MAUÁ,maua,abr_25.xlsx
4860,4,790.0,35,ENTREGA_CARNE,25,"[4860, 4, 790]",2025-04-25,MAUÁ,maua,abr_25.xlsx
4849,6,495.0,35,ENTREGA_CARNE,28,"[4849, 6, 495]",2025-04-28,MAUÁ,maua,abr_25.xlsx
4850,6,495.0,36,ENTREGA_CARNE,28,"[4850, 6, 495]",2025-04-28,MAUÁ,maua,abr_25.xlsx
4361,5,520.0,35,ENTREGA_CARNE,5,"[4361, 5, 520]",2024-08-05,,maua,ago_24.xlsx
4362,5,520.0,36,ENTREGA_CARNE,5,"[4362, 5, 520]",2024-08-05,,maua,ago_24.xlsx
4313,5,1540.0,35,ENTREGA_CARNE,6,"[4313, 5, 1540]",2024-08-06,,maua,ago_24.xlsx
4357,5,750.0,36,ENTREGA_CARNE,6,"[4357, 5, 750]",2024-08-06,,maua,ago_24.xlsx
4356,3,650.0,35,ENTREGA_CARNE,7,"[4356, 3, 650]",2024-08-07,,maua,ago_24.xlsx
4347,5,550.0,35,ENTREGA_CARNE,10,"[4347, 5, 550]",2024-08-10,,maua,ago_24.xlsx
4385,7,450.0,35,ENTREGA_CARNE,14,"[4385, 7, 450]",2024-08-14,,maua,ago_24.xlsx
4405,5,660.0,35,ENTREGA_CARNE,19,"[4405, 5, 660]",2024-08-19,,maua,ago_24.xlsx
4413,2,100.0,35,ENTREGA_CARNE,23,"[4413, 2, 100]",2024-08-23,,maua,ago_24.xlsx
4406,3,1040.0,35,ENTREGA_CARNE,26,"[4406, 3, 1040]",2024-08-26,,maua,ago_24.xlsx
4371,1,280.0,35,ENTREGA_CARNE,27,"[4371, 1, 280]",2024-08-27,,maua,ago_24.xlsx
4443,2,200.0,35,ENTREGA_CARNE,31,"[4443, 2, 200]",2024-08-31,,maua,ago_24.xlsx
3811,4,700.0,35,ENTREGA_CARNE,2,"[3811, 4, 700]",2023-12-02,,maua,dez_23.xlsx
3867,1,100.0,35,ENTREGA_CARNE,7,"[3867, 1, 100]",2023-12-07,,maua,dez_23.xlsx
3926,2,75.0,35,ENTREGA_CARNE,19,"[3926, 2, 75]",2023-12-19,,maua,dez_23.xlsx
3963,1,500.0,35,ENTREGA_CARNE,30,"[3963, 1, 500]",2023-12-30,,maua,dez_23.xlsx
3972,2,250.0,36,ENTREGA_CARNE,30,"[3972, 2, 250]",2023-12-30,,maua,dez_23.xlsx
4629,6,1850.0,35,ENTREGA_CARNE,6,"[4629, 6, 1850]",2024-12-06,,maua,dez_24.xlsx
4641,7,950.0,35,ENTREGA_CARNE,7,"[4641, 7, 950]",2024-12-07,,maua,dez_24.xlsx
4640,6,600.0,35,ENTREGA_CARNE,9,"[4640, 6, 600]",2024-12-09,,maua,dez_24.xlsx
4651,2,472.0,35,ENTREGA_CARNE,11,"[4651, 2, 472]",2024-12-11,,maua,dez_24.xlsx
4600,5,599.0,35,ENTREGA_CARNE,24,"[4600, 5, 599]",2024-12-24,,maua,dez_24.xlsx
4694,1,168.0,36,ENTREGA_CARNE,24,"[4694, 1, 168]",2024-12-24,,maua,dez_24.xlsx
3991,5,750.0,35,ENTREGA_CARNE,8,"[3991, 5, 750]",2024-02-08,,maua,fev_24.xlsx
4002,5,490.0,35,ENTREGA_CARNE,9,"[4002, 5, 490]",2024-02-09,,maua,fev_24.xlsx
4031-4032,6,1080.0,35,ENTREGA_CARNE,10,"['4031-4032', 6, 1080]",2024-02-10,,maua,fev_24.xlsx
4014,7,2340.0,35,ENTREGA_CARNE,15,"[4014, 7, 2340]",2024-02-15,,maua,fev_24.xlsx
4038,4,650.0,35,ENTREGA_CARNE,21,"[4038, 4, 650]",2024-02-21,,maua,fev_24.xlsx
4033,6,1884.0,35,ENTREGA_CARNE,22,"[4033, 6, 1884]",2024-02-22,,maua,fev_24.xlsx
4057,6,1100.0,35,ENTREGA_CARNE,26,"[4057, 6, 1100]",2024-02-26,,maua,fev_24.xlsx
4719,5,680.0,35,ENTREGA_CARNE,1,"[4719, 5, 680]",2025-02-01,,maua,fev_25.xlsx
4741,5,750.0,35,ENTREGA_CARNE,15,"[4741, 5, 750]",2025-02-15,,maua,fev_25.xlsx
4158,5,670.0,35,ENTREGA_CARNE,17,"[4158, 5, 670]",2025-02-17,,maua,fev_25.xlsx
4764,5,680.0,35,ENTREGA_CARNE,28,"[4764, 5, 680]",2025-02-28,,maua,fev_25.xlsx
3971,4,720.0,35,ENTREGA_CARNE,11,"[3971, 4, 720]",2024-01-11,,maua,jan_24.xlsx
3968,5,580.0,36,ENTREGA_CARNE,11,"[3968, 5, 580]",2024-01-11,,maua,jan_24.xlsx
3983,1,220.0,35,ENTREGA_CARNE,13,"[3983, 1, 220]",2024-01-13,,maua,jan_24.xlsx
3984,1,220.0,36,ENTREGA_CARNE,13,"[3984, 1, 220]",2024-01-13,,maua,jan_24.xlsx
3977,3,350.0,37,ENTREGA_CARNE,13,"[3977, 3, 350]",2024-01-13,,maua,jan_24.xlsx
3935,1,125.0,38,ENTREGA_CARNE,13,"[3935, 1, 125]",2024-01-13,,maua,jan_24.xlsx
3969,5,350.0,35,ENTREGA_CARNE,20,"[3969, 5, 350]",2024-01-20,,maua,jan_24.xlsx
3970,5,350.0,36,ENTREGA_CARNE,20,"[3970, 5, 350]",2024-01-20,,maua,jan_24.xlsx
4021,3,300.0,35,ENTREGA_CARNE,26,"[4021, 3, 300]",2024-01-26,,maua,jan_24.xlsx
3999,5,790.0,35,ENTREGA_CARNE,27,"[3999, 5, 790]",2024-01-27,,maua,jan_24.xlsx
4004,4,253.0,35,ENTREGA_CARNE,30,"[4004, 4, 253]",2024-01-30,,maua,jan_24.xlsx
4685,5,249.99,35,ENTREGA_CARNE,3,"[4685, 5, 249.99]",2025-01-03,MAUÁ,maua,jan_25.xlsx
4628,6,1105.7,35,ENTREGA_CARNE,8,"[4628, 6, 1105.7]",2025-01-08,MAUÁ,maua,jan_25.xlsx
4712,1,80.0,35,ENTREGA_CARNE,13,"[4712, 1, 80]",2025-01-13,MAUÁ,maua,jan_25.xlsx
4697,5,1210.0,35,ENTREGA_CARNE,21,"[4697, 5, 1210]",2025-01-21,MAUÁ,maua,jan_25.xlsx
4698,4,450.0,36,ENTREGA_CARNE,21,"[4698, 4, 450]",2025-01-21,MAUÁ,maua,jan_25.xlsx
4710,2,340.0,37,ENTREGA_CARNE,21,"[4710, 2, 340]",2025-01-21,MAUÁ,maua,jan_25.xlsx
4709,3,300.0,35,ENTREGA_CARNE,23,"[4709, 3, 300]",2025-01-23,MAUÁ,maua,jan_25.xlsx
4305,4,463.0,35,ENTREGA_CARNE,2,"[4305, 4, 463]",2024-07-02,,maua,jul_24.xlsx
4241,5,749.0,35,ENTREGA_CARNE,6,"[4241, 5, 749]",2024-07-06,,maua,jul_24.xlsx
4326,7,1720.0,36,ENTREGA_CARNE,6,"[4326, 7, 1720]",2024-07-06,,maua,jul_24.xlsx
4335,4,540.0,35,ENTREGA_CARNE,8,"[4335, 4, 540]",2024-07-08,,maua,jul_24.xlsx
4253,5,800.0,35,ENTREGA_CARNE,17,"[4253, 5, 800]",2024-07-17,,maua,jul_24.xlsx
4355,4,628.0,35,ENTREGA_CARNE,25,"[4355, 4, 628]",2024-07-25,,maua,jul_24.xlsx
4254,4,800.0,35,ENTREGA_CARNE,29,"[4254, 4, 800]",2024-07-29,,maua,jul_24.xlsx
4257,4,650.0,35,ENTREGA_CARNE,4,"[4257, 4, 650]",2024-06-04,,maua,jun_24.xlsx
4262,5,650.0,35,ENTREGA_CARNE,6,"[4262, 5, 650]",2024-06-06,,maua,jun_24.xlsx
4201,3,340.0,35,ENTREGA_CARNE,7,"[4201, 3, 340]",2024-06-07,,maua,jun_24.xlsx
4263,2,400.0,35,ENTREGA_CARNE,8,"[4263, 2, 400]",2024-06-08,,maua,jun_24.xlsx
4284,4,730.0,35,ENTREGA_CARNE,14,"[4284, 4, 730]",2024-06-14,,maua,jun_24.xlsx
4288,1,100.0,35,ENTREGA_CARNE,18,"[4288, 1, 100]",2024-06-18,,maua,jun_24.xlsx
4289,3,300.0,36,ENTREGA_CARNE,18,"[4289, 3, 300]",2024-06-18,,maua,jun_24.xlsx
4269,5,500.0,35,ENTREGA_CARNE,22,"[4269, 5, 500]",2024-06-22,,maua,jun_24.xlsx
4255,4,1050.0,35,ENTREGA_CARNE,24,"[4255, 4, 1050]",2024-06-24,,maua,jun_24.xlsx
4294,5,790.0,35,ENTREGA_CARNE,26,"[4294, 5, 790]",2024-06-26,,maua,jun_24.xlsx
4303,5,750.0,35,ENTREGA_CARNE,28,"[4303, 5, 750]",2024-06-28,,maua,jun_24.xlsx
4196,6,600.0,35,ENTREGA_CARNE,3,"[4196, 6, 600]",2024-05-03,,maua,mai_24.xlsx
4197,6,600.0,36,ENTREGA_CARNE,3,"[4197, 6, 600]",2024-05-03,,maua,mai_24.xlsx
4166,5,649.0,35,ENTREGA_CARNE,14,"[4166, 5, 649]",2024-05-14,,maua,mai_24.xlsx
4158,5,800.0,36,ENTREGA_CARNE,14,"[4158, 5, 800]",2024-05-14,,maua,mai_24.xlsx
4183,5,300.0,35,ENTREGA_CARNE,17,"[4183, 5, 300]",2024-05-17,,maua,mai_24.xlsx
4184,5,300.0,36,ENTREGA_CARNE,17,"[4184, 5, 300]",2024-05-17,,maua,mai_24.xlsx
4216,3,649.0,35,ENTREGA_CARNE,18,"[4216, 3, 649]",2024-05-18,,maua,mai_24.xlsx
4219,5,699.0,35,ENTREGA_CARNE,20,"[4219, 5, 699]",2024-05-20,,maua,mai_24.xlsx
4225,5,425.0,35,ENTREGA_CARNE,22,"[4225, 5, 425]",2024-05-22,,maua,mai_24.xlsx
4226,5,425.0,36,ENTREGA_CARNE,22,"[4226, 5, 425]",2024-05-22,,maua,mai_24.xlsx
4249,3,240.0,37,ENTREGA_CARNE,22,"[4249, 3, 240]",2024-05-22,,maua,mai_24.xlsx
4297,6,1200.0,35,ENTREGA_CARNE,23,"[4297, 6, 1200]",2024-05-23,,maua,mai_24.xlsx
42131,5,630.0,35,ENTREGA_CARNE,24,"[42131, 5, 630]",2024-05-24,,maua,mai_24.xlsx
4092,6,1075.76,35,ENTREGA_CARNE,20,"[4092, 6, 1075.76]",2024-03-20,,maua,mar_24.xlsx
4091,5,1150.0,35,ENTREGA_CARNE,21,"[4091, 5, 1150]",2024-03-21,,maua,mar_24.xlsx
4080,6,1340.0,35,ENTREGA_CARNE,22,"[4080, 6, 1340]",2024-03-22,,maua,mar_24.xlsx
4104,4,500.0,35,ENTREGA_CARNE,26,"[4104, 4, 500]",2024-03-26,,maua,mar_24.xlsx
4771,5,750.0,35,ENTREGA_CARNE,11,"[4771, 5, 750]",2025-03-11,,maua,mar_25.xlsx
4814,4,400.0,35,ENTREGA_CARNE,14,"[4814, 4, 400]",2025-03-14,,maua,mar_25.xlsx
4793,5,850.0,35,ENTREGA_CARNE,17,"[4793, 5, 850]",2025-03-17,,maua,mar_25.xlsx
4825,4,460.0,35,ENTREGA_CARNE,18,"[4825, 4, 460]",2025-03-18,,maua,mar_25.xlsx
4792,8,700.0,35,ENTREGA_CARNE,27,"[4792, 8, 700]",2025-03-27,,maua,mar_25.xlsx
4843,4,539.0,35,ENTREGA_CARNE,29,"[4843, 4, 539]",2025-03-29,,maua,mar_25.xlsx
4612,4,530.0,35,ENTREGA_CARNE,1,"[4612, 4, 530]",2024-11-01,,maua,nov_24.xlsx
4518,5,1000.0,35,ENTREGA_CARNE,5,"[4518, 5, 1000]",2024-11-05,,maua,nov_24.xlsx
4544,5,699.99,36,ENTREGA_CARNE,5,"[4544, 5, 699.99]",2024-11-05,,maua,nov_24.xlsx
4610,2,199.5,35,ENTREGA_CARNE,6,"[4610, 2, 199.5]",2024-11-06,,maua,nov_24.xlsx
4619,3,360.0,36,ENTREGA_CARNE,6,"[4619, 3, 360]",2024-11-06,,maua,nov_24.xlsx
4616,7,599.0,35,ENTREGA_CARNE,21,"[4616, 7, 599]",2024-11-21,,maua,nov_24.xlsx
4617,4,400.0,35,ENTREGA_CARNE,23,"[4617, 4, 400]",2024-11-23,,maua,nov_24.xlsx
