os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem
3486,3,300.0,35,ENTREGA_CARNE,22,"[3486, 3, 300]",2024-04-22,,rio_pequeno,abr_24.xlsx
3485,6,1190.0,35,ENTREGA_CARNE,26,"[3485, 6, 1190]",2024-04-26,,rio_pequeno,abr_24.xlsx
2979,5,550.0,35,ENTREGA_CARNE,24,"[2979, 5, 550]",2023-08-24,,rio_pequeno,ago_23.xlsx
2984,5,1800.0,35,ENTREGA_CARNE,31,"[2984, 5, 1800]",2023-08-31,,rio_pequeno,ago_23.xlsx
3644,5,500.0,35,ENTREGA_CARNE,3,"[3644, 5, 500]",2024-08-03,,rio_pequeno,ago_24.xlsx
3637,5,540.0,35,ENTREGA_CARNE,9,"[3637, 5, 540]",2024-08-09,,rio_pequeno,ago_24.xlsx
3631,1,349.0,35,ENTREGA_CARNE,17,"[3631, 1, 349]",2024-08-17,,rio_pequeno,ago_24.xlsx
3179,4,399.0,35,ENTREGA_CARNE,1,"[3179, 4, 399]",2023-12-01,,rio_pequeno,dez_23.xlsx
3265,3,385.0,35,ENTREGA_CARNE,13,"[3265, 3, 385]",2023-12-13,,rio_pequeno,dez_23.xlsx
3268,5,539.0,35,ENTREGA_CARNE,16,"[3268, 5, 539]",2023-12-16,,rio_pequeno,dez_23.xlsx
3271,3,330.0,35,ENTREGA_CARNE,22,"[3271, 3, 330]",2023-12-22,,rio_pequeno,dez_23.xlsx
3284,5,623.0,35,ENTREGA_CARNE,23,"[3284, 5, 623]",2023-12-23,,rio_pequeno,dez_23.xlsx
3818,3,234.0,35,ENTREGA_CARNE,20,"[3818, 3, 234]",2024-12-20,,rio_pequeno,dez_24.xlsx
3803,3,228.0,35,ENTREGA_CARNE,26,"[3803, 3, 228]",2024-12-26,,rio_pequeno,dez_24.xlsx
3362,5,420.0,35,ENTREGA_CARNE,5,"[3362, 5, 420]",2024-02-05,,rio_pequeno,fev_24.xlsx
3392,3,750.0,35,ENTREGA_CARNE,9,"[3392, 3, 750]",2024-02-09,,rio_pequeno,fev_24.xlsx
3415,3,282.0,35,ENTREGA_CARNE,17,"[3415, 3, 282]",2024-02-17,,rio_pequeno,fev_24.xlsx
3331,3,349.0,35,ENTREGA_CARNE,6,"[3331, 3, 349]",2024-01-06,,rio_pequeno,jan_24.xlsx
2979,5,550.0,35,ENTREGA_CARNE,24,"[2979, 5, 550]",2023-07-24,,rio_pequeno,jul_23.xlsx
3566,4,999.0,35,ENTREGA_CARNE,2,"[3566, 4, 999]",2024-07-02,,rio_pequeno,jul_24.xlsx
3592,5,900.0,35,ENTREGA_CARNE,6,"[3592, 5, 900]",2024-07-06,,rio_pequeno,jul_24.xlsx
3624,3,399.0,35,ENTREGA_CARNE,18,"[3624, 3, 399]",2024-07-18,,rio_pequeno,jul_24.xlsx
3611,6,999.0,36,ENTREGA_CARNE,18,"[3611, 6, 999]",2024-07-18,,rio_pequeno,jul_24.xlsx
3609,5,625.0,35,ENTREGA_CARNE,23,"[3609, 5, 625]",2024-07-23,,rio_pequeno,jul_24.xlsx
3553,6,690.0,35,ENTREGA_CARNE,19,"[3553, 6, 690]",2024-06-19,,rio_pequeno,jun_24.xlsx
3491,2,1115.0,35,ENTREGA_CARNE,8,"[3491, 2, 1115]",2024-05-08,,rio_pequeno,mai_24.xlsx
3452,6,1134.0,35,ENTREGA_CARNE,22,"[3452, 6, 1134]",2024-03-22,,rio_pequeno,mar_24.xlsx
3141,3,420.0,35,ENTREGA_CARNE,11,"[3141, 3, 420]",2023-11-11,,rio_pequeno,nov_23.xlsx
3175,7,640.0,35,ENTREGA_CARNE,14,"[3175, 7, 640]",2023-11-14,,rio_pequeno,nov_23.xlsx
3176,7,450.0,36,ENTREGA_CARNE,14,"[3176, 7, 450]",2023-11-14,,rio_pequeno,nov_23.xlsx
3177,7,100.0,37,ENTREGA_CARNE,14,"[3177, 7, 100]",2023-11-14,,rio_pequeno,nov_23.xlsx
3199,7,539.0,35,ENTREGA_CARNE,21,"[3199, 7, 539]",2023-11-21,,rio_pequeno,nov_23.xlsx
3773,3,268.0,35,ENTREGA_CARNE,9,"[3773, 3, 268]",2024-11-09,,rio_pequeno,nov_24.xlsx
3766,2,500.0,35,ENTREGA_CARNE,23,"[3766, 2, 500]",2024-11-23,,rio_pequeno,nov_24.xlsx
