id_legado,arquivo_duplicado
1000153,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000171,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000004,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000116,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000143,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000177,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000011,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000056,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000010,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000128,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000070,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000157,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000077,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000048,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000103,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000053,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000173,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000024,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000016,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000090,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000146,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000045,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000122,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000078,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000172,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000047,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000082,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000187,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000028,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000095,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000072,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000055,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000029,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000094,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000162,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000188,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000073,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000156,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000037,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000084,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000085,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000032,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000130,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000169,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000076,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000135,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000180,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000184,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000034,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000102,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000183,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000111,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000054,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000059,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000107,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000105,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000083,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000025,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000174,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000152,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000018,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000030,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000120,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000091,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000044,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000019,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000065,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000098,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
2042765,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000112,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000131,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
2083452,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000121,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000124,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000022,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000023,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000041,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000104,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000160,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000021,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000142,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000066,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000079,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000008,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000092,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000151,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000012,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000057,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000064,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000185,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000074,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000163,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000140,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000071,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000117,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000166,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000017,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000161,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000038,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000109,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000080,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000119,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000145,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000001,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000139,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000013,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000115,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000007,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000088,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000165,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000081,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000133,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000009,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000144,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000158,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000129,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000020,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000150,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
1000042,data/importacao_clientes/modelo_tabela\clientes_suzano2.csv
