Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,42,2021-04-30,420003182,1,362221,LENTE CR LED BLUE PRONTA,1,110.95,,
,42,2021-04-30,420003181,1,362131,LENTE MULTIFOCAL POLI  PRO HD TRAT AR,1,447.0,,
,42,2021-04-30,420003181,2,362131,LENTE MULTIFOCAL POLI  PRO HD TRAT AR,1,447.0,,
,42,2021-04-30,420003180,1,40004,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,325.0,,
,42,2021-04-30,420003180,2,40004,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,325.0,,
,42,2021-04-30,420003179,1,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,70.01,,
,42,2021-04-30,420003179,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,70.01,,
,42,2021-04-30,420003179,3,372120,ROMANO REC RO1055 C2,1,327.98,,
,42,2021-04-30,420003178,2,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,413.8,,
,42,2021-04-30,420003178,5,30215,"LENTE CR 1.61 AR CIL ACIMA 2,00 PRONTA - IN",1,130.95,,
,42,2021-04-30,420003178,4,30215,"LENTE CR 1.61 AR CIL ACIMA 2,00 PRONTA - IN",1,130.95,,
,42,2021-04-30,420003178,1,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,413.79,,
,42,2021-04-30,420003178,3,371829,REC BELLATIS SL5050 C1,1,209.51,,
,42,2021-04-30,420003177,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,237.52,,
,42,2021-04-30,420003177,4,371785,REC FL 5962 C1,1,286.17,,
,42,2021-04-30,420003177,5,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.01,,
,42,2021-04-30,420003177,1,371774,REC BELLATIS SL6012 C5,1,190.77,,
,42,2021-04-30,420003177,3,30009,LENTE MULTIFOCAL CR FOTO - FT,1,237.52,,
,42,2021-04-30,420003177,6,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.01,,
,42,2021-04-30,420003176,2,361829,PLAQUETA,1,13.79,,
,42,2021-04-30,420003176,1,361842,LIMPEZA COMPLETA COM AJUSTES,1,21.21,,
,42,2021-04-29,420003175,2,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,424.5,,
,42,2021-04-29,420003175,1,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,424.5,,
,42,2021-04-29,420003174,1,361829,PLAQUETA,1,13.79,,
,42,2021-04-29,420003174,2,361842,LIMPEZA COMPLETA COM AJUSTES,1,21.21,,
,42,2021-04-29,420003173,3,371848,REC FL SL80536 C1,1,235.28,,
,42,2021-04-29,420003173,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,122.36,,
,42,2021-04-29,420003173,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,122.36,,
,42,2021-04-29,420003172,1,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,99.0,,
,42,2021-04-29,420003172,4,60070,LENTE CR INC SURFAÇADA - COLORAÇÃO,1,198.0,,
,42,2021-04-29,420003172,2,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,99.0,,
,42,2021-04-29,420003172,3,60070,LENTE CR INC SURFAÇADA - COLORAÇÃO,1,198.0,,
,42,2021-04-29,420003171,2,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,630.0,,
,42,2021-04-29,420003171,1,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,630.0,,
,42,2021-04-29,420003170,2,370610,SOLDA GARANTIA,1,0.01,,
,42,2021-04-28,420003169,1,368681,LENTE HOYA ULTRAX AQUA PRONTA,1,106.0,,
,42,2021-04-28,420003169,2,368681,LENTE HOYA ULTRAX AQUA PRONTA,1,106.0,,
,42,2021-04-28,420003169,3,371574,ARM REC BULGET BG1636 01A,1,438.0,,
,42,2021-04-28,420003168,1,30221,LENTE CR INCOLOR PRONTA-COLORAÇÃO,1,75.01,,
,42,2021-04-28,420003168,2,30221,LENTE CR INCOLOR PRONTA-COLORAÇÃO,1,75.0,,
,42,2021-04-28,420003168,3,30050,LENTE CR INCOLOR PRONTA - IN,1,50.0,,
,42,2021-04-28,420003168,4,30050,LENTE CR INCOLOR PRONTA - IN,1,50.0,,
,42,2021-04-28,420003167,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,67.22,,
,42,2021-04-28,420003167,3,371841,REC FL SL459 C2,1,225.56,,
,42,2021-04-28,420003167,1,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,67.22,,
,42,2021-04-28,420003166,2,365216,LENTE TRANSITIONS PRONTA - ESTOQUE,1,97.14,,
,42,2021-04-28,420003166,1,370856,HI REC HI1133 01B,1,585.72,,
,42,2021-04-28,420003166,3,365216,LENTE TRANSITIONS PRONTA - ESTOQUE,1,97.14,,
,42,2021-04-28,420003165,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,149.75,,
,42,2021-04-28,420003165,3,364434,BELLATIS REC JC6253 C5,1,179.69,,
,42,2021-04-28,420003165,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,149.76,,
,42,2021-04-28,420003164,1,369972,ARM REC BELLATIS CO8002-A COL 2,1,249.99,,
,42,2021-04-28,420003164,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,249.0,,
,42,2021-04-28,420003164,3,30009,LENTE MULTIFOCAL CR FOTO - FT,1,281.01,,
,42,2021-04-27,420003163,1,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,306.14,,
,42,2021-04-27,420003163,4,366190,LENTE CR INCOLOR FOSCA,1,38.86,,
,42,2021-04-27,420003163,2,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,306.14,,
,42,2021-04-27,420003163,3,366190,LENTE CR INCOLOR FOSCA,1,38.86,,
,42,2021-04-27,420003162,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,128.08,,
,42,2021-04-27,420003162,4,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,73.4,,
,42,2021-04-27,420003162,3,371773,REC BELLATIS SL6854 C2,1,197.03,,
,42,2021-04-27,420003162,5,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,73.4,,
,42,2021-04-27,420003162,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,128.08,,
,42,2021-04-26,420003161,1,361829,PLAQUETA,1,13.79,,
,42,2021-04-26,420003161,2,361842,LIMPEZA COMPLETA COM AJUSTES,1,21.21,,
,42,2021-04-26,420003160,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,255.0,,
,42,2021-04-26,420003160,1,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,255.0,,
,42,2021-04-26,420003159,1,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,110.0,,
,42,2021-04-26,420003158,2,30050,LENTE CR INCOLOR PRONTA - IN,1,50.0,,
X,42,2021-04-26,420003158,1,30201,LENTE POLARIZADA CR,1,327.6,,
,42,2021-04-26,420003158,3,30050,LENTE CR INCOLOR PRONTA - IN,1,50.0,,
,42,2021-04-26,420003157,3,371831,REC BELLATIS T1246 C3,1,248.27,,
,42,2021-04-26,420003157,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,271.86,,
,42,2021-04-26,420003157,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,271.87,,
,42,2021-04-26,420003156,2,30058,LENTE POLI 1.59 AR PRONTA - IN,1,145.0,,
,42,2021-04-26,420003156,1,30058,LENTE POLI 1.59 AR PRONTA - IN,1,145.0,,
,42,2021-04-26,420003155,5,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,115.17,,
,42,2021-04-26,420003155,4,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,147.42,,
,42,2021-04-26,420003155,6,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,115.17,,
,42,2021-04-26,420003155,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,147.4,,
,42,2021-04-26,420003155,3,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,147.42,,
,42,2021-04-26,420003155,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,147.42,,
,42,2021-04-26,420003154,1,362221,LENTE CR LED BLUE PRONTA,1,149.5,,
,42,2021-04-26,420003154,2,362221,LENTE CR LED BLUE PRONTA,1,149.5,,
,42,2021-04-26,420003153,1,371771,REC BELLATIS SL6829 C3,1,185.0,,
X,42,2021-04-26,420003152,2,370085,ARM REC BULGET BG6338I C03,1,449.99,,
,42,2021-04-26,420003152,3,370085,ARM REC BULGET BG6338I C03,1,190.0,,
X,42,2021-04-26,420003152,1,370610,SOLDA GARANTIA,1,0.01,,
,42,2021-04-26,420003151,1,30211,LENTE BALUX FOTO DIGITAL CR,1,448.0,,
,42,2021-04-26,420003151,2,30211,LENTE BALUX FOTO DIGITAL CR,1,448.0,,
,42,2021-04-26,420003150,2,30225,LENTE TRANSITIONS CRIZAL EASY PRONTA - CIN,1,499.5,,
,42,2021-04-26,420003150,1,30225,LENTE TRANSITIONS CRIZAL EASY PRONTA - CIN,1,499.5,,
,42,2021-04-26,420003149,1,370145,SPEEDO REC SP7024 D01,1,421.74,,
,42,2021-04-26,420003149,3,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,254.13,,
,42,2021-04-26,420003149,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,254.13,,
,42,2021-04-24,420003148,1,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,304.98,,
,42,2021-04-24,420003148,2,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,304.98,,
,42,2021-04-24,420003147,2,356151,LENTE VX COMFORT ORMA INC ESTOQUE,1,163.0,,
,42,2021-04-24,420003147,3,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,395.0,,
,42,2021-04-24,420003147,1,356151,LENTE VX COMFORT ORMA INC ESTOQUE,1,163.0,,
,42,2021-04-24,420003147,4,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,398.0,,
,42,2021-04-24,420003146,1,371802,BELLATIS SOL JQ7994 C3,1,99.99,,
X,42,2021-04-24,420003145,1,371802,BELLATIS SOL JQ7994 C3,1,99.99,,
,42,2021-04-24,420003144,1,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,42,2021-04-24,420003144,2,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,42,2021-04-24,420003143,2,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,353.74,,
,42,2021-04-24,420003143,3,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,121.26,,
,42,2021-04-24,420003143,1,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,353.74,,
,42,2021-04-24,420003143,4,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,121.26,,
,42,2021-04-24,420003142,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,224.45,,
,42,2021-04-24,420003142,5,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.17,,
,42,2021-04-24,420003142,1,371191,OL REC Y51 PRET/ROXO,1,47.75,,
,42,2021-04-24,420003142,4,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.17,,
,42,2021-04-24,420003142,3,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,224.46,,
,42,2021-04-24,420003141,3,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,237.12,,
,42,2021-04-24,420003141,1,372116,SABRINA SATO SS619 C3,1,525.77,,
,42,2021-04-24,420003141,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,237.11,,
,42,2021-04-24,420003140,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,90.0,,
,42,2021-04-24,420003140,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,90.0,,
,42,2021-04-24,420003139,1,11969,ARMAÇÃO REC GL PROMOÇÃO GL_PROMO_DIV UNICA,1,50.0,,
,42,2021-04-24,420003138,1,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,649.99,,
,42,2021-04-24,420003138,4,40080,LENTE VARILUX LIBERTY CRIZAL EASY - IN,1,0.01,,
,42,2021-04-24,420003138,3,40080,LENTE VARILUX LIBERTY CRIZAL EASY - IN,1,0.01,,
,42,2021-04-24,420003138,2,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,649.99,,
,42,2021-04-24,420003137,1,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,499.38,,
,42,2021-04-24,420003137,2,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,499.39,,
,42,2021-04-24,420003137,3,370073,ARM REC BULGET BG1664M 02A,1,441.23,,
,42,2021-04-24,420003136,1,369005,LENTE HB VISION 1.56 CIL ACIMA 200 BLUE LIGHT PRON,1,299.99,,
,42,2021-04-24,420003135,2,362711,LENTE VS FOTO SURF ANTREFLEXO,1,409.66,,
,42,2021-04-24,420003135,1,362711,LENTE VS FOTO SURF ANTREFLEXO,1,409.66,,
,42,2021-04-24,420003135,3,362917,ARMAÇÃO REC FAITH LOVE MJ2449 C2,1,170.68,,
,42,2021-04-23,420003133,4,30050,LENTE CR INCOLOR PRONTA - IN,1,48.19,,
,42,2021-04-23,420003133,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.81,,
,42,2021-04-23,420003133,3,30050,LENTE CR INCOLOR PRONTA - IN,1,48.19,,
,42,2021-04-23,420003133,1,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.82,,
,42,2021-04-23,420003132,3,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,42,2021-04-23,420003132,2,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,42,2021-04-23,420003132,1,367599,ARM REC BELLATIS TR19001 A925-1,1,250.0,,
,42,2021-04-23,420003131,1,361839,PASSAGEM DE LENTE SURFAÇADA,1,84.0,,
,42,2021-04-23,420003130,1,366190,LENTE CR INCOLOR FOSCA,1,47.16,,
,42,2021-04-23,420003130,3,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,87.84,,
,42,2021-04-23,420003130,2,366190,LENTE CR INCOLOR FOSCA,1,47.16,,
,42,2021-04-23,420003130,4,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,87.84,,
,42,2021-04-23,420003129,4,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,112.0,,
,42,2021-04-23,420003129,1,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,112.01,,
,42,2021-04-23,420003129,3,371754,URBAN REC Y011 C2,1,111.99,,
,42,2021-04-23,420003129,5,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,112.0,,
,42,2021-04-23,420003129,2,30214,LENTE CR AR 1.56 CIL ACIMA DE 200,1,112.0,,
,42,2021-04-23,420003128,1,30047,LENTE POLI INCOLOR PRONTA ATE +400 ESF CIL ATE 2,1,100.0,,
,42,2021-04-23,420003128,2,30047,LENTE POLI INCOLOR PRONTA ATE +400 ESF CIL ATE 2,1,100.0,,
,42,2021-04-23,420003127,2,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,677.82,,
