Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2021-08-31,480001350,1,30215,"LENTE CR 1.61 AR CIL ACIMA 2,00 ATE -4,00 PRONTA",1,114.29,,
,48,2021-08-31,480001350,2,30215,"LENTE CR 1.61 AR CIL ACIMA 2,00 ATE -4,00 PRONTA",1,114.29,,
,48,2021-08-31,480001350,3,372801,URBAN REC JL321 C4,1,91.42,,
,48,2021-08-31,480001349,3,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,427.84,,
,48,2021-08-31,480001349,2,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,427.84,,
,48,2021-08-31,480001349,1,367326,BELLATIS REC BA465 C7,1,293.32,,
X,48,2021-08-31,480001348,1,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,150.0,,
X,48,2021-08-31,480001348,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,150.0,,
,48,2021-08-31,480001347,2,373509,BELLATIS REC FY140 C4,1,199.99,,
,48,2021-08-31,480001347,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,195.0,,
,48,2021-08-31,480001347,3,360262,LENTE MULTIFOCAL C.O PRO HD,1,205.01,,
,48,2021-08-30,480001346,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,67.22,,
,48,2021-08-30,480001346,3,369053,ARMA REC FL CH9113 C1,1,225.56,,
,48,2021-08-30,480001346,1,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,67.22,,
,48,2021-08-30,480001345,1,30400,LENTE MULTIFOCAL POLI INC - IN,1,315.0,,
,48,2021-08-30,480001344,1,369333,FL REC PZ1911 C1,1,200.4,,
,48,2021-08-26,480001343,2,356151,LENTE VX COMFORT ORMA INC ESTOQUE,1,403.26,,
,48,2021-08-26,480001343,1,356151,LENTE VX COMFORT ORMA INC ESTOQUE,1,403.27,,
,48,2021-08-26,480001343,3,371430,BELLATIS REC CH9145 C4,1,683.47,,
,48,2021-08-26,480001342,1,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,75.0,,
