Inativo,Emp.,Dt.DAV,Unnamed: 3,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
X,42.0,2023-12-06,420008352.0,1.0,359448.0,SOLDA CORTESIA,1.0,0.01,,
,42.0,2023-12-06,420008352.0,2.0,359448.0,SOLDA CORTESIA,1.0,39.8,,
,42.0,2023-12-06,420008351.0,1.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,450.0,,
,42.0,2023-12-06,420008351.0,2.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,450.0,,
X,42.0,2023-12-06,420008350.0,1.0,369931.0,LANCASTER SOLAR DIVERSOS,1.0,99.99,,
,42.0,2023-12-06,420008350.0,2.0,369931.0,LANCASTER SOLAR DIVERSOS,1.0,600.0,,
,42.0,2023-12-06,420008350.0,3.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,100.0,,
,42.0,2023-12-06,420008350.0,4.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,100.0,,
,42.0,2023-12-06,420008350.0,5.0,30003.0,LENTE CR INC SURFAÇADA - IN,1.0,175.0,,
,42.0,2023-12-06,420008350.0,6.0,30003.0,LENTE CR INC SURFAÇADA - IN,1.0,175.0,,
,42.0,2023-12-06,420008349.0,1.0,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1.0,250.0,,
,42.0,2023-12-06,420008349.0,2.0,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1.0,250.0,,
X,42.0,2023-12-04,420008348.0,1.0,361842.0,LIMPEZA COMPLETA COM AJUSTES,1.0,19.99,,
,42.0,2023-12-04,420008348.0,2.0,361842.0,LIMPEZA COMPLETA COM AJUSTES,1.0,30.0,,
X,42.0,2023-12-04,420008347.0,1.0,361842.0,LIMPEZA COMPLETA COM AJUSTES,1.0,19.99,,
,42.0,2023-12-04,420008347.0,2.0,361842.0,LIMPEZA COMPLETA COM AJUSTES,1.0,20.0,,
,42.0,2023-12-04,420008346.0,1.0,369931.0,LANCASTER SOLAR DIVERSOS,1.0,349.0,,
,42.0,2023-12-04,420008345.0,1.0,389582.0,LENTE VS LUX CLEAN 1.67 BLUE AR PRONTA,1.0,438.0,,
,42.0,2023-12-04,420008345.0,2.0,389582.0,LENTE VS LUX CLEAN 1.67 BLUE AR PRONTA,1.0,438.0,,
,42.0,2023-12-04,420008344.0,1.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,74.5,,
,42.0,2023-12-04,420008344.0,2.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,74.5,,
,42.0,2023-12-04,420008344.0,3.0,30060.0,LENTE CR 1.61 AR PRONTA - IN,1.0,225.5,,
,42.0,2023-12-04,420008344.0,4.0,30060.0,LENTE CR 1.61 AR PRONTA - IN,1.0,225.5,,
,42.0,2023-12-02,420008343.0,1.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,140.0,,
,42.0,2023-12-02,420008343.0,2.0,52323.0,LENTE CR 1.49 AR ESPECIAL - IN,1.0,140.0,,
,42.0,2023-12-02,420008342.0,1.0,359448.0,SOLDA CORTESIA,1.0,20.0,,
,42.0,2023-12-02,420008341.0,1.0,370610.0,SOLDA GARANTIA,1.0,100.0,,
,42.0,2023-12-02,420008340.0,1.0,30227.0,LENTE MULTIFOCAL INCOLOR C/AR PRONTA 000 A+300 ESF,1.0,190.0,,
,42.0,2023-12-02,420008340.0,2.0,30227.0,LENTE MULTIFOCAL INCOLOR C/AR PRONTA 000 A+300 ESF,1.0,190.0,,
,42.0,2023-12-02,420008339.0,1.0,362221.0,LENTE CR LED BLUE PRONTA,1.0,130.0,,
,42.0,2023-12-02,420008339.0,2.0,362221.0,LENTE CR LED BLUE PRONTA,1.0,130.0,,
,42.0,2023-12-02,420008339.0,3.0,378242.0,LENTE CR LED BLUE PRONTA RESIDUAL VERDE,1.0,130.0,,
,42.0,2023-12-02,420008339.0,4.0,378242.0,LENTE CR LED BLUE PRONTA RESIDUAL VERDE,1.0,130.0,,
,42.0,2023-12-02,420008339.0,5.0,369931.0,LANCASTER SOLAR DIVERSOS,1.0,90.0,,
,42.0,2023-12-02,420008338.0,1.0,370610.0,SOLDA GARANTIA,1.0,0.01,,
,42.0,2023-12-02,420008337.0,1.0,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1.0,350.0,,
,42.0,2023-12-02,420008337.0,2.0,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1.0,350.0,,
,42.0,2023-12-01,420008336.0,1.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,436.5,,
,42.0,2023-12-01,420008336.0,2.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,436.5,,
,42.0,2023-12-01,420008335.0,1.0,370610.0,SOLDA GARANTIA,1.0,0.01,,
,42.0,2023-12-01,420008334.0,1.0,359199.0,LENTE AMPLUS 1.50 HARD,1.0,800.0,,
,42.0,2023-12-01,420008334.0,2.0,359199.0,LENTE AMPLUS 1.50 HARD,1.0,800.0,,
,42.0,2023-12-01,420008334.0,3.0,359199.0,LENTE AMPLUS 1.50 HARD,1.0,50.0,,
,42.0,2023-12-01,420008334.0,4.0,359199.0,LENTE AMPLUS 1.50 HARD,1.0,50.0,,
,42.0,2023-12-01,420008333.0,1.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,500.0,,
,42.0,2023-12-01,420008333.0,2.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,500.0,,
X,42.0,2023-12-01,420008332.0,1.0,370610.0,SOLDA GARANTIA,1.0,0.01,,
,42.0,2023-12-01,420008332.0,2.0,370610.0,SOLDA GARANTIA,1.0,100.0,,
,11.0,2024-01-02,110003360.0,1.0,,ARMAÇÃO OTM,1.0,300.0,,
,11.0,2024-01-02,110003360.0,1.0,,SOLDA DE MOLA,1.0,0.0,,
,11.0,2024-01-03,110003361.0,1.0,,SOLAR OTM 38881,1.0,50.0,,
,11.0,2024-01-03,110003362.0,1.0,,"1,67 COM AR",1.0,800.0,,
,11.0,2024-01-03,110003362.0,1.0,,OTM,1.0,120.0,,
,11.0,2024-01-04,110003363.0,1.0,,LENTE COM AR,1.0,145.0,,
,11.0,2024-01-04,110003364.0,1.0,,LENTE COM AR,1.0,290.0,,
,11.0,2024-01-04,110003365.0,1.0,,MEIO PAR MULTI INCOLOR,1.0,350.0,,
,11.0,2024-01-05,110003366.0,1.0,,SOLAR,1.0,60.0,,
,11.0,2024-01-05,110003367.0,1.0,,MULTI FOTO BLUE AR,1.0,1300.0,,
,11.0,2024-01-05,110003367.0,1.0,,OTM SH 192 C1,1.0,390.0,,
,11.0,2024-01-08,110003368.0,1.0,,OTM W-102 C6,1.0,249.92,,
,11.0,2024-01-08,110003368.0,1.0,,CR AR,1.0,240.08,,
,11.0,2024-01-10,110003369.0,1.0,,OTM 23006,1.0,149.0,,
,11.0,2024-01-10,110003369.0,1.0,,BLUE,1.0,250.0,,
,48.0,2024-01-04,480003981.0,1.0,,CONCERTO,1.0,30.0,,
,48.0,2024-01-06,480003983.0,1.0,,LENTE CR AR,1.0,245.0,,
,48.0,2024-01-06,480003983.0,1.0,,ARMAÇÃO BELLATIS,1.0,100.0,,
,48.0,2024-01-06,480003984.0,1.0,,LENTE CR AR,1.0,245.0,,
,48.0,2024-01-06,480003984.0,1.0,,ARMAÇÃO,1.0,100.0,,
,48.0,2024-01-06,480003985.0,1.0,,PASSAGEM BELLATIS,1.0,150.0,,
,48.0,2024-01-08,480003986.0,1.0,,ARMAÇÃO SPEEDO,1.0,450.0,,
,48.0,2024-01-08,480003986.0,1.0,,LENTE MULT COM COLORAÇÃO,1.0,550.0,,
,48.0,2024-01-08,480003987.0,1.0,,LENTE MULTI COM COLORAÇÃO,1.0,350.0,,
,48.0,2024-01-08,480003989.0,1.0,,ACESSORIO CLIPON,1.0,140.0,,
,48.0,2024-01-09,480003991.0,1.0,,BELLATIS 8576,1.0,290.0,,
,48.0,2024-01-09,480003991.0,1.0,,LENTE MULTI AR,1.0,560.0,,
,48.0,2024-01-10,480003992.0,1.0,,POLY SURF BLUE AR,1.0,875.75,,
,48.0,2024-01-10,480003993.0,1.0,,POLY SURF BLUE AR,1.0,957.5,,
,48.0,2024-01-10,480003994.0,1.0,,MULTI INCOLOR,1.0,399.0,,
,48.0,2024-01-11,480003995.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-11,480003995.0,1.0,,"LENTE MAXXEE ,ULTI AR FOTO",1.0,1550.0,,
,48.0,2024-01-12,480003997.0,1.0,,MULTI AR,1.0,800.0,,
,48.0,2024-01-12,480003997.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-12,480003998.0,1.0,,BLUE AR,1.0,464.0,,
,48.0,2024-01-12,480003998.0,1.0,,ARMAÇÃO,1.0,200.0,,
,48.0,2024-01-13,480003999.0,1.0,,LENTE MULTI FOTO INCOLOR,1.0,740.08,,
,48.0,2024-01-13,480003999.0,1.0,,ARMAÇÃO ,1.0,249.92,,
,48.0,2024-01-13,480004000.0,1.0,,LENTE CR AR BLUE ,1.0,370.0,,
,48.0,2024-01-13,480004000.0,1.0,,ARMAÇÃO CARMEN VITTI,1.0,200.0,,
,48.0,2024-01-13,480004001.0,1.0,,POLY BLUE AR,1.0,900.0,,
,48.0,2024-01-13,480004001.0,1.0,,ARMAÇÃO,1.0,250.0,,
,48.0,2024-01-13,480004002.0,1.0,,LENTE POLY AR,1.0,441.0,,
,48.0,2024-01-13,480004002.0,1.0,,ARMAÇÃO FL,1.0,249.0,,
,48.0,2024-01-13,480004003.0,1.0,,LENTE MULTI FOTO INCOLOR,1.0,1440.61,,
,48.0,2024-01-13,480004003.0,1.0,,ARMAÇÃO FL SL 6006,1.0,349.39,,
,48.0,2024-01-15,480004004.0,1.0,,LENTE CR AR BLUE ,1.0,374.28,,
