Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-02-28,480003233,1,384966,BELLATIS REC BR5859 COL.4,1,75.0,,
X,48,2023-02-28,480003232,1,361831,AJUSTES NA ARMAÇÃO,1,9.99,,
,48,2023-02-28,480003232,2,361831,ARMAÇÃO,1,150.0,,
,48,2023-02-28,480003231,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,225.0,,
,48,2023-02-28,480003231,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,225.0,,
,48,2023-02-28,480003230,1,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,275.0,,
,48,2023-02-28,480003230,2,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,275.0,,
,48,2023-02-28,480003229,1,40004,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,427.5,,
,48,2023-02-28,480003229,2,40004,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,427.5,,
,48,2023-02-27,480003228,1,374521,BELLATIS REC T237-B C1,1,150.0,,
,48,2023-02-27,480003228,2,358610,"LENTE CR 1.67 AR CIL ACIMA DE 2,00 ATE -4,00 PRONT",1,400.0,,
,48,2023-02-27,480003228,3,358610,"LENTE CR 1.67 AR CIL ACIMA DE 2,00 ATE -4,00 PRONT",1,400.0,,
,48,2023-02-27,480003227,1,384938,BELLATIS REC BR8068 C1,1,200.0,,
,48,2023-02-27,480003227,2,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,225.0,,
,48,2023-02-27,480003227,3,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,225.0,,
,48,2023-02-27,480003226,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2023-02-27,480003225,1,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,250.0,,
,48,2023-02-27,480003225,2,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,250.0,,
,48,2023-02-27,480003224,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,225.0,,
,48,2023-02-27,480003224,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,225.0,,
,48,2023-02-27,480003223,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2023-02-25,480003222,1,384922,BELLATIS REC ISA1041 C7,1,225.0,,
,48,2023-02-25,480003221,1,362221,LENTE CR LED BLUE PRONTA,1,120.0,,
,48,2023-02-25,480003221,2,362221,LENTE CR LED BLUE PRONTA,1,120.0,,
,48,2023-02-25,480003221,3,362221,LENTE CR LED BLUE PRONTA,1,120.0,,
,48,2023-02-25,480003221,4,362221,LENTE CR LED BLUE PRONTA,1,120.0,,
,48,2023-02-25,480003221,5,366190,LENTE CR INCOLOR FOSCA,1,38.0,,
,48,2023-02-25,480003221,6,366190,LENTE CR INCOLOR FOSCA,1,38.0,,
,48,2023-02-25,480003221,7,366190,LENTE CR INCOLOR FOSCA,1,38.0,,
,48,2023-02-25,480003221,8,366190,LENTE CR INCOLOR FOSCA,1,38.0,,
,48,2023-02-25,480003220,1,368995,LENTE POLY AR BLUE UV PRONTA,1,75.0,,
,48,2023-02-25,480003220,2,368995,LENTE POLY AR BLUE UV PRONTA,1,75.01,,
,48,2023-02-25,480003219,1,374463,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,230.0,,
,48,2023-02-25,480003219,2,374463,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,230.0,,
,48,2023-02-25,480003218,1,370610,SOLDA GARANTIA,1,40.01,,
,48,2023-02-25,480003217,1,369206,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,400.0,,
,48,2023-02-25,480003217,2,369206,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,400.0,,
