Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,9,2024-02-02,900000590.0,1.0,,ARMAÇÃO NYLON,1.0,49.9,,
,9,2024-02-02,900000590.0,1.0,,LENTE 1.56 BLUE COM AR,1.0,900.0,,
,9,2024-02-03,900000591.0,1.0,,SOLAR E BRINDE,1.0,0.0,,
,9,2024-02-03,900000591.0,1.0,,ARMAÇÃO TM,1.0,300.0,,
,9,2024-02-03,900000591.0,1.0,,LENTE CR AR RESIDUAL AZUL,1.0,300.0,,
,10,2024-02-02,900000853.0,1.0,,LENTE MULTI AR,1.0,590.0,,
,11,2024-02-01,110003412.0,1.0,,OTM 66029 C2,1.0,249.0,,
,11,2024-02-01,110003412.0,1.0,,CR BLUE AR,1.0,341.0,,
,11,2024-02-02,110003413.0,1.0,,SEM ETIQUETA,1.0,250.0,,
,11,2024-02-02,110003413.0,1.0,,1.56 BLUE COM AR,1.0,420.0,,
,11,2024-02-02,110003414.0,1.0,,SOLAR ,1.0,100.0,,
,11,2024-02-03,110003415.0,1.0,,OTM 15109 C1,1.0,250.0,,
,11,2024-02-03,110003415.0,1.0,,1.56 CR AR,1.0,220.0,,
,11,2024-01-03,110003416.0,1.0,,OTM FT106 C2,1.0,300.0,,
,11,2024-01-03,110003416.0,1.0,,POLI BLUE AR,1.0,399.0,,
,11,2024-01-03,110003417.0,1.0,,OTM TR2245 C2,1.0,501.0,,
,11,2024-01-03,110003417.0,1.0,,MULTI POLI AR,1.0,789.0,,
,48,2024-02-02,480004037.0,1.0,,MULTI FOTO  AR,1.0,1242.0,,
,48,2024-02-02,480004038.0,1.0,,ARMAÇÃO BELLATIS,1.0,249.92,,
,48,2024-02-02,480004038.0,1.0,,CR MULTI INCOLOR,1.0,600.08,,
,48,2024-02-02,480004039.0,1.0,,BELLATIS SL 1171 C3,1.0,170.0,,
,48,2024-02-02,480004039.0,1.0,,MULTI POLY AR,1.0,750.0,,
,48,2024-02-02,480004040.0,1.0,,BELLTAIS,1.0,180.0,,
,48,2024-02-02,480004040.0,1.0,,POLY BLUE AR,1.0,250.0,,
,48,2024-02-02,480004041.0,1.0,,FZ-JC9330 C2,1.0,150.0,,
,48,2024-02-02,480004041.0,1.0,,MULTI CR AR,1.0,500.0,,
,48,2024-02-03,480004042.0,1.0,,BELLATIS ARO FECAHDO,1.0,199.0,,
,48,2024-02-03,480004042.0,1.0,,CR MULTI AR,1.0,601.0,,
,48,2024-02-03,480004043.0,1.0,,BELLATIS,1.0,150.0,,
