Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2022-01-31,480001775,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,375.0,,
,48,2022-01-31,480001775,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,375.0,,
,48,2022-01-29,480001774,2,360604,LENTE ULTRAX 1.50 SENSITY CLEAN EXTRA PRONTA,1,500.0,,
,48,2022-01-29,480001774,1,360604,LENTE ULTRAX 1.50 SENSITY CLEAN EXTRA PRONTA,1,500.0,,
,48,2022-01-29,480001773,3,378244,LENTE MULTIFOCAL CR INCOLOR (KOMBO|07),1,115.01,,
,48,2022-01-29,480001773,1,374646,REC ATHENAS ATH2512 C3,1,349.99,,
,48,2022-01-29,480001773,2,378244,LENTE MULTIFOCAL CR INCOLOR (KOMBO|07),1,115.0,,
,48,2022-01-29,480001772,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,255.0,,
,48,2022-01-29,480001772,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,255.0,,
,48,2022-01-29,480001771,3,360262,LENTE MULTIFOCAL C.O PRO HD,1,175.01,,
,48,2022-01-29,480001771,1,374521,BELLATIS REC T237-B C1,1,299.99,,
,48,2022-01-29,480001771,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,175.0,,
,48,2022-01-29,480001770,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,150.0,,
,48,2022-01-29,480001770,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,150.0,,
,48,2022-01-28,480001769,2,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001769,1,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001769,3,377819,OL REC ISA1038 C4,1,199.99,,
,48,2022-01-28,480001768,2,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001768,3,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001768,1,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001768,4,378242,LENTE CR LED BLUE PRONTA (KOMBO|03),1,99.0,,
,48,2022-01-28,480001767,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,114.46,,
,48,2022-01-28,480001767,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,114.46,,
,48,2022-01-28,480001767,3,377823,OL REC ISA5023 C5,1,176.08,,
,48,2022-01-28,480001766,3,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,183.64,,
,48,2022-01-28,480001766,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,91.36,,
,48,2022-01-28,480001766,4,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,183.64,,
,48,2022-01-28,480001766,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,91.36,,
,48,2022-01-28,480001765,3,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,300.01,,
,48,2022-01-28,480001765,1,377728,BELLATIS REC BR5815 COL.2,1,249.99,,
,48,2022-01-28,480001765,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,300.0,,
,48,2022-01-28,480001764,1,371500,RUN REC MJ3656 C1,1,208.72,,
