Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-01-31 00:00:00,0480003152,1,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,471,,
,48,2023-01-31 00:00:00,0480003152,2,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,471,,
,48,2023-01-31 00:00:00,0480003151,1,382642.0,SABRINA SATO SS709 C4,1,649.99,,
,48,2023-01-31 00:00:00,0480003150,1,361846.0,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,325,,
,48,2023-01-31 00:00:00,0480003150,2,361846.0,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,325,,
,48,2023-01-30 00:00:00,0480003149,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,15,,
,48,2023-01-30 00:00:00,0480003148,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-30 00:00:00,0480003147,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-30 00:00:00,0480003146,1,384248.0,RUN REC ISA1033 C6,1,147.05,,
,48,2023-01-30 00:00:00,0480003146,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,272.07,,
,48,2023-01-30 00:00:00,0480003146,3,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,272.06,,
,48,2023-01-30 00:00:00,0480003146,4,366190.0,LENTE CR INCOLOR FOSCA,1,29.41,,
,48,2023-01-30 00:00:00,0480003146,5,366190.0,LENTE CR INCOLOR FOSCA,1,29.41,,
,48,2023-01-28 00:00:00,0480003145,1,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,136.03,,
,48,2023-01-28 00:00:00,0480003145,2,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,136.03,,
,48,2023-01-28 00:00:00,0480003145,3,374653.0,REC ATHENAS ATH2524 C3,1,317.94,,
,48,2023-01-28 00:00:00,0480003144,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-28 00:00:00,0480003143,1,366190.0,LENTE CR INCOLOR FOSCA,1,40,,
,48,2023-01-28 00:00:00,0480003143,2,366190.0,LENTE CR INCOLOR FOSCA,1,40,,
,48,2023-01-28 00:00:00,0480003143,3,375543.0,LENTE KODAK  POLI BLUE UV,1,285,,
,48,2023-01-28 00:00:00,0480003143,4,375543.0,LENTE KODAK  POLI BLUE UV,1,285,,
,48,2023-01-27 00:00:00,0480003142,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-27 00:00:00,0480003141,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,66.3,,
,48,2023-01-27 00:00:00,0480003141,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,66.3,,
,48,2023-01-27 00:00:00,0480003141,3,384214.0,BELLATIS REC ISA3087 C4,1,167.4,,
,48,2023-01-27 00:00:00,0480003140,1,384612.0,BELLATIS REC BR8068 C2,1,249.99,,
,48,2023-01-27 00:00:00,0480003140,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,375,,
,48,2023-01-27 00:00:00,0480003140,3,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,375.01,,
,48,2023-01-27 00:00:00,0480003139,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-26 00:00:00,0480003138,1,370610.0,SOLDA GARANTIA,1,0.01,,
X,48,2023-01-26 00:00:00,0480003137,1,10448.0,SOLDA COMUM,1,49.99,,
,48,2023-01-26 00:00:00,0480003137,2,10448.0,SOLDA COMUM,1,45,,
,48,2023-01-26 00:00:00,0480003136,1,383163.0,BELLATIS REC BR8049 C4,1,249.99,,
,48,2023-01-26 00:00:00,0480003136,2,383832.0,LENTE POLY BLUE RESIDUAL AZUL  PRONTA,1,295,,
,48,2023-01-26 00:00:00,0480003136,3,383832.0,LENTE POLY BLUE RESIDUAL AZUL  PRONTA,1,295.01,,
,48,2023-01-26 00:00:00,0480003135,1,362221.0,LENTE CR LED BLUE PRONTA,1,75,,
,48,2023-01-26 00:00:00,0480003135,2,362221.0,LENTE CR LED BLUE PRONTA,1,75,,
,48,2023-01-26 00:00:00,0480003134,1,384908.0,BELLATIS REC ISA5030 C3,1,220.54,,
,48,2023-01-26 00:00:00,0480003134,2,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,164.3,,
,48,2023-01-26 00:00:00,0480003134,3,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,164.3,,
,48,2023-01-26 00:00:00,0480003134,4,366190.0,LENTE CR INCOLOR FOSCA,1,35.43,,
,48,2023-01-26 00:00:00,0480003134,5,366190.0,LENTE CR INCOLOR FOSCA,1,35.43,,
,48,2023-01-26 00:00:00,0480003133,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-01-26 00:00:00,0480003132,1,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2023-01-26 00:00:00,0480003132,2,360262.0,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2023-01-26 00:00:00,0480003132,3,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,250.25,,
,48,2023-01-26 00:00:00,0480003132,4,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,250.25,,
,48,2023-01-25 00:00:00,0480003131,1,30012.0,LENTE MULTIFOCAL POLI FOTO PRO HD,1,555,,
,48,2023-01-25 00:00:00,0480003131,2,30012.0,LENTE MULTIFOCAL POLI FOTO PRO HD,1,555,,
,48,2023-01-25 00:00:00,0480003130,1,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,232.75,,
,48,2023-01-25 00:00:00,0480003130,2,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,232.75,,
,48,2023-01-25 00:00:00,0480003130,3,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2023-01-25 00:00:00,0480003130,4,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2023-01-25 00:00:00,0480003130,5,381841.0,BELLATIS REC 2808 C1,1,434,,
,48,2023-01-25 00:00:00,0480003129,1,362221.0,LENTE CR LED BLUE PRONTA,1,245,,
,48,2023-01-25 00:00:00,0480003129,2,362221.0,LENTE CR LED BLUE PRONTA,1,245,,
,48,2023-01-25 00:00:00,0480003128,1,361232.0,LENTE ARGOS SENSITY C.EXTRA,1,1020,,
,48,2023-01-25 00:00:00,0480003128,2,361232.0,LENTE ARGOS SENSITY C.EXTRA,1,1020,,
,48,2023-01-25 00:00:00,0480003128,3,382911.0,EVOKE FOR YOU EVK RX53 A01,1,399.99,,
,48,2023-01-25 00:00:00,0480003128,4,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,380.5,,
