Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
X,48,2022-07-30,480002565,1,10448,SOLDA COMUM,1,49.99,,
,48,2022-07-30,480002565,2,10448,SOLDA COMUM,1,50.0,,
,48,2022-07-30,480002564,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-30,480002563,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-30,480002562,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-30,480002561,1,362221,LENTE CR LED BLUE PRONTA,1,100.0,,
,48,2022-07-30,480002561,2,362221,LENTE CR LED BLUE PRONTA,1,100.0,,
,48,2022-07-30,480002560,1,374631,REC ASPEN AS1312 C3,1,249.99,,
,48,2022-07-30,480002560,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.0,,
,48,2022-07-30,480002560,3,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.01,,
,48,2022-07-30,480002559,1,361812,LENTE POLY AR ESPECIAL-PRONTA,1,97.31,,
,48,2022-07-30,480002559,2,361812,LENTE POLY AR ESPECIAL-PRONTA,1,97.31,,
,48,2022-07-30,480002559,3,380090,RUN REC FD81004 C1,1,195.38,,
,48,2022-07-29,480002558,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-29,480002557,1,362221,LENTE CR LED BLUE PRONTA,1,107.75,,
,48,2022-07-29,480002557,2,362221,LENTE CR LED BLUE PRONTA,1,107.75,,
,48,2022-07-29,480002557,3,381941,FL REC 8304 COBRE,1,189.0,,
,48,2022-07-29,480002557,4,362221,LENTE CR LED BLUE PRONTA,1,107.75,,
,48,2022-07-29,480002557,5,362221,LENTE CR LED BLUE PRONTA,1,107.75,,
,48,2022-07-29,480002556,1,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,103.45,,
,48,2022-07-29,480002556,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,103.45,,
,48,2022-07-29,480002556,3,368294,LENTE MULTIFOCAL POLY FOTO SURF,1,496.55,,
,48,2022-07-29,480002556,4,368294,LENTE MULTIFOCAL POLY FOTO SURF,1,496.55,,
,48,2022-07-29,480002555,1,30058,LENTE POLI 1.59 AR PRONTA - IN,1,116.46,,
,48,2022-07-29,480002555,2,361234,LENTE MULTIFOCAL POLI  PRO HD,1,322.36,,
,48,2022-07-29,480002555,3,381993,RUN REC 9192 C-9,1,161.18,,
,48,2022-07-29,480002554,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,544.5,,
,48,2022-07-29,480002554,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,544.5,,
,48,2022-07-29,480002553,1,362221,LENTE CR LED BLUE PRONTA,1,75.35,,
,48,2022-07-29,480002553,2,362221,LENTE CR LED BLUE PRONTA,1,75.35,,
,48,2022-07-29,480002553,3,381887,FL REC MT6713 C1,1,79.3,,
,48,2022-07-28,480002552,1,380850,FL REC FD66015 C2,1,249.99,,
,48,2022-07-28,480002551,1,381841,BELLATIS REC 2808 C1,1,99.99,,
,48,2022-07-27,480002550,1,30050,LENTE CR INCOLOR PRONTA - IN,1,49.5,,
,48,2022-07-27,480002550,2,381861,BELLATIS REC I166806 C5,1,99.99,,
,48,2022-07-27,480002550,3,30050,LENTE CR INCOLOR PRONTA - IN,1,49.51,,
,48,2022-07-27,480002549,1,30050,LENTE CR INCOLOR PRONTA - IN,1,100.0,,
,48,2022-07-27,480002549,2,30050,LENTE CR INCOLOR PRONTA - IN,1,100.0,,
,48,2022-07-27,480002548,1,370610,SOLDA GARANTIA,1,0.01,,
X,48,2022-07-27,480002547,1,361842,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2022-07-27,480002547,2,361842,LIMPEZA COMPLETA COM AJUSTES,1,20.0,,
,48,2022-07-27,480002546,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,150.0,,
,48,2022-07-27,480002546,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,150.0,,
,48,2022-07-27,480002545,1,10448,SOLDA COMUM,1,45.0,,
,48,2022-07-27,480002544,1,374641,REC ASPEN AS1325 C3,1,229.08,,
,48,2022-07-27,480002544,2,357543,LENTE CR INCOLOR PRONTA-COLORAÇÃO+TRAT AR,1,137.46,,
,48,2022-07-27,480002544,3,357543,LENTE CR INCOLOR PRONTA-COLORAÇÃO+TRAT AR,1,137.46,,
,48,2022-07-27,480002543,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,110.3,,
,48,2022-07-27,480002543,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,110.3,,
,48,2022-07-27,480002543,3,380206,BELLATIS REC BR22171 C5,1,229.4,,
,48,2022-07-27,480002542,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,231.51,,
,48,2022-07-27,480002542,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,231.51,,
,48,2022-07-27,480002542,3,380060,FL REC FD7006 C1,1,235.98,,
,48,2022-07-26,480002541,1,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,375.0,,
,48,2022-07-26,480002541,2,356288,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,375.0,,
,48,2022-07-26,480002540,1,381972,BELLATIS REC BR0601 C1,1,249.99,,
,48,2022-07-26,480002540,2,362221,LENTE CR LED BLUE PRONTA,1,170.0,,
,48,2022-07-26,480002540,3,362221,LENTE CR LED BLUE PRONTA,1,170.01,,
,48,2022-07-26,480002539,1,381886,FL REC 2812 C1,1,50.0,,
,48,2022-07-25,480002538,1,359205,LENTE AMPLUS SENSITY CLEAN EXTRA,1,675.0,,
,48,2022-07-25,480002538,2,359205,LENTE AMPLUS SENSITY CLEAN EXTRA,1,675.0,,
,48,2022-07-25,480002537,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-25,480002536,1,10448,SOLDA COMUM,1,45.0,,
X,48,2022-07-25,480002535,1,10448,SOLDA COMUM,1,49.99,,
,48,2022-07-25,480002534,1,381892,FL REC ISA3036 C3,1,149.69,,
,48,2022-07-25,480002534,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,175.16,,
,48,2022-07-25,480002534,3,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,175.15,,
,48,2022-07-25,480002533,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,255.0,,
,48,2022-07-25,480002533,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,255.0,,
,48,2022-07-25,480002532,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-25,480002531,1,381998,RUN REC 9110 C-7,1,249.99,,
,48,2022-07-25,480002531,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,165.0,,
,48,2022-07-25,480002531,3,360262,LENTE MULTIFOCAL C.O PRO HD,1,165.01,,
,48,2022-07-23,480002530,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-23,480002529,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2022-07-23,480002529,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2022-07-23,480002529,3,381891,FL REC ISA3036 C4,1,149.99,,
,48,2022-07-23,480002529,4,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,129.75,,
,48,2022-07-23,480002529,5,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,129.76,,
,48,2022-07-22,480002528,1,381874,FL REC FD8568 C6,1,150.0,,
,48,2022-07-22,480002527,1,362221,LENTE CR LED BLUE PRONTA,1,142.5,,
,48,2022-07-22,480002527,2,362221,LENTE CR LED BLUE PRONTA,1,142.5,,
,48,2022-07-22,480002527,3,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,87.5,,
,48,2022-07-22,480002527,4,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,87.5,,
,48,2022-07-22,480002527,5,362221,LENTE CR LED BLUE PRONTA,1,169.5,,
,48,2022-07-22,480002527,6,362221,LENTE CR LED BLUE PRONTA,1,169.5,,
,48,2022-07-22,480002526,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,289.0,,
,48,2022-07-22,480002526,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,289.0,,
,48,2022-07-22,480002525,1,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,60.0,,
,48,2022-07-22,480002525,2,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,60.0,,
,48,2022-07-22,480002524,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,136.03,,
,48,2022-07-22,480002524,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,136.03,,
,48,2022-07-22,480002524,3,381929,FL REC MT6587-2 C3,1,317.94,,
,48,2022-07-22,480002523,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,270.0,,
,48,2022-07-22,480002523,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,270.0,,
,48,2022-07-22,480002522,1,374605,REC ASPEN AS1325 C1,1,299.78,,
,48,2022-07-22,480002522,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,199.11,,
,48,2022-07-22,480002522,3,360262,LENTE MULTIFOCAL C.O PRO HD,1,199.11,,
,48,2022-07-22,480002521,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,350.0,,
,48,2022-07-22,480002521,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,350.0,,
,48,2022-07-22,480002520,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,255.0,,
,48,2022-07-22,480002520,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,255.0,,
,48,2022-07-21,480002519,1,366190,LENTE CR INCOLOR FOSCA,1,115.0,,
,48,2022-07-21,480002519,2,366190,LENTE CR INCOLOR FOSCA,1,115.0,,
,48,2022-07-21,480002518,1,382081,BELLATIS REC BR1114 C5,1,200.0,,
,48,2022-07-21,480002517,1,381996,RUN REC BR4252 C4,1,249.99,,
,48,2022-07-21,480002517,2,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,195.0,,
,48,2022-07-21,480002517,3,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,195.01,,
,48,2022-07-21,480002516,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-07-20,480002515,1,381879,FL REC 9541 C1,1,149.99,,
,48,2022-07-20,480002515,2,30059,"LENTE CR AR PRONTA 4,25 ATÉ 6,00 ESF CIL ATÉ 2,00",1,99.0,,
