Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-06-30,480003552,1,377932.0,LENTE ARGOS CR 39 NO RISK BC,1,835.0,,
,48,2023-06-30,480003552,2,377932.0,LENTE ARGOS CR 39 NO RISK BC,1,835.0,,
,48,2023-06-30,480003552,3,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,244.5,,
,48,2023-06-30,480003552,4,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,244.5,,
,48,2023-06-30,480003551,1,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,48,2023-06-30,480003551,2,362221.0,LENTE CR LED BLUE PRONTA,1,200.0,,
,48,2023-06-30,480003550,1,369206.0,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,300.0,,
,48,2023-06-30,480003550,2,369206.0,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,300.0,,
,48,2023-06-30,480003549,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,250.0,,
,48,2023-06-30,480003549,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,250.0,,
,48,2023-06-30,480003548,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,400.0,,
,48,2023-06-30,480003548,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,400.0,,
,48,2023-06-30,480003547,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-06-30,480003546,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,90.0,,
,48,2023-06-29,480003545,1,362221.0,LENTE CR LED BLUE PRONTA,1,125.0,,
,48,2023-06-29,480003545,2,362221.0,LENTE CR LED BLUE PRONTA,1,125.0,,
,48,2023-06-29,480003544,1,361842.0,ARMAÇÃO,1,150.0,,
,48,2023-06-28,480003543,1,362221.0,LENTE CR LED BLUE PRONTA,1,140.0,,
,48,2023-06-28,480003543,2,362221.0,LENTE CR LED BLUE PRONTA,1,140.0,,
,48,2023-06-28,480003542,1,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.0,,
,48,2023-06-28,480003542,2,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.0,,
