Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2022-06-30,480002428,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,212.72,,
,48,2022-06-30,480002428,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,212.72,,
,48,2022-06-30,480002428,3,374661,REC ATHENAS ATH2527 C2,1,303.56,,
,48,2022-06-30,480002427,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-06-30,480002426,1,379482,FAITH LOVE REC YY5503 C2,1,249.99,,
,48,2022-06-30,480002426,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,175.0,,
,48,2022-06-30,480002426,3,360262,LENTE MULTIFOCAL C.O PRO HD,1,175.01,,
,48,2022-06-30,480002425,1,30058,LENTE POLI 1.59 AR PRONTA - IN,1,100.0,,
,48,2022-06-30,480002425,2,30058,LENTE POLI 1.59 AR PRONTA - IN,1,100.0,,
,48,2022-06-30,480002425,3,30058,LENTE POLI 1.59 AR PRONTA - IN,1,100.0,,
,48,2022-06-30,480002425,4,30058,LENTE POLI 1.59 AR PRONTA - IN,1,100.0,,
,48,2022-06-30,480002424,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,249.5,,
,48,2022-06-30,480002424,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,249.5,,
,48,2022-06-29,480002423,1,10448,SOLDA COMUM,1,45.0,,
,48,2022-06-29,480002422,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-06-29,480002421,1,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.0,,
,48,2022-06-29,480002421,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,225.0,,
,48,2022-06-29,480002420,1,359205,LENTE AMPLUS SENSITY CLEAN EXTRA,1,616.55,,
,48,2022-06-29,480002420,2,359205,LENTE AMPLUS SENSITY CLEAN EXTRA,1,616.55,,
,48,2022-06-29,480002420,3,380243,BELLATIS REC FD66010 C5,1,266.9,,
,48,2022-06-29,480002419,1,374619,REC ASPEN AS1329 C2,1,234.0,,
