Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,42,2021-05-31,420003313,1,361829,PLAQUETA,1,12.5,,
,42,2021-05-31,420003313,2,361829,PLAQUETA,1,12.5,,
,42,2021-05-31,420003312,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,166.08,,
,42,2021-05-31,420003312,5,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,166.08,,
,42,2021-05-31,420003312,1,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,166.06,,
,42,2021-05-31,420003312,4,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,166.08,,
,42,2021-05-31,420003312,3,372794,URBAN REC JL318 C4,1,132.85,,
,42,2021-05-31,420003312,6,372816,URBAN REC JL307 C5,1,132.85,,
,42,2021-05-31,420003311,1,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,348.0,,
,42,2021-05-31,420003311,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,348.0,,
,42,2021-05-31,420003310,1,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,150.0,,
,42,2021-05-31,420003310,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,150.0,,
,42,2021-05-31,420003309,3,372794,URBAN REC JL318 C4,1,99.99,,
,42,2021-05-31,420003309,1,371332,LENTE FOTOSSENSIVEL BLUE UV CIL ACIMA 2,1,300.01,,
,42,2021-05-31,420003309,2,371332,LENTE FOTOSSENSIVEL BLUE UV CIL ACIMA 2,1,300.0,,
,42,2021-05-31,420003308,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,107.15,,
,42,2021-05-31,420003308,1,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,107.14,,
,42,2021-05-31,420003308,3,371199,OL REC T243 PRETO,1,85.71,,
,42,2021-05-31,420003307,1,371218,OL REC LH2027 ROXO,1,206.88,,
,42,2021-05-31,420003307,2,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,136.56,,
,42,2021-05-31,420003307,3,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,136.56,,
,42,2021-05-29,420003306,2,366134,LENTE CR INCOLOR SURFAÇADA BLUE LIGHT,1,397.06,,
,42,2021-05-29,420003306,3,372795,URBAN REC JL318 C5,1,105.87,,
,42,2021-05-29,420003306,1,366134,LENTE CR INCOLOR SURFAÇADA BLUE LIGHT,1,397.07,,
,42,2021-05-29,420003305,2,60000,LENTE TRANSITIONS PRONTA - CIN,1,390.0,,
,42,2021-05-29,420003305,1,60000,LENTE TRANSITIONS PRONTA - CIN,1,390.0,,
,42,2021-05-28,420003304,1,363873,LENTE VISION PRIME DS CR ANTREFLEXO,1,310.0,,
