 ,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
X,48,2023-05-31,480003473,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,100.0,,
,48,2023-05-31,480003473,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,90.0,,
,48,2023-05-30,480003472,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,320.0,,
,48,2023-05-30,480003472,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,320.0,,
,48,2023-05-30,480003471,1,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,250.0,,
,48,2023-05-30,480003471,2,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1,250.0,,
,48,2023-05-30,480003470,1,368998.0,LENTE POLI AR BLUE UV CIL ACIMA DE 200 PRONTA,1,295.0,,
,48,2023-05-30,480003470,2,368998.0,LENTE POLI AR BLUE UV CIL ACIMA DE 200 PRONTA,1,295.0,,
,48,2023-05-30,480003469,1,10448.0,SOLDA COMUM,1,45.0,,
,48,2023-05-30,480003468,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,95.0,,
,48,2023-05-30,480003468,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,95.0,,
,48,2023-05-30,480003468,3,386458.0,"LENTE MULTIFOCAL FOTO -1,00 A +3,00ESF AD3 BLUE AR",1,236.0,,
,48,2023-05-30,480003468,4,386458.0,"LENTE MULTIFOCAL FOTO -1,00 A +3,00ESF AD3 BLUE AR",1,236.0,,
X,48,2023-05-30,480003467,1,10448.0,SOLDA COMUM,1,49.99,,
X,48,2023-05-30,480003467,2,361831.0,AJUSTES NA ARMAÇÃO,1,9.99,,
,48,2023-05-30,480003467,3,361831.0,AJUSTES NA ARMAÇÃO,1,10.0,,
X,48,2023-05-30,480003466,1,10448.0,SOLDA COMUM,1,49.99,,
,48,2023-05-30,480003466,2,10448.0,SOLDA COMUM,1,45.0,,
,48,2023-05-29,480003465,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,375.0,,
,48,2023-05-29,480003465,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,375.0,,
,48,2023-05-29,480003464,1,368995.0,LENTE POLY AR BLUE UV PRONTA,1,250.0,,
,48,2023-05-29,480003464,2,368995.0,LENTE POLY AR BLUE UV PRONTA,1,250.0,,
,48,2023-05-29,480003463,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,10.0,,
,48,2023-05-29,480003462,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-05-29,480003461,1,361265.0,LENTE MULTIFOCAL CR 167 DIGITAL,1,725.0,,
,48,2023-05-29,480003461,2,361265.0,LENTE MULTIFOCAL CR 167 DIGITAL,1,725.0,,
X,48,2023-05-29,480003460,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
X,48,2023-05-29,480003460,2,361831.0,AJUSTES NA ARMAÇÃO,1,9.99,,
,48,2023-05-29,480003460,3,361831.0,AJUSTES NA ARMAÇÃO,1,10.0,,
,48,2023-05-27,480003459,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,99.75,,
,48,2023-05-27,480003459,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,99.75,,
,48,2023-05-27,480003459,3,30058.0,LENTE POLI 1.59 AR PRONTA - IN,1,99.75,,
,48,2023-05-27,480003459,4,30058.0,LENTE POLI 1.59 AR PRONTA - IN,1,99.75,,
,48,2023-05-27,480003458,1,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,390.0,,
,48,2023-05-27,480003458,2,40006.0,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,390.0,,
,48,2023-05-27,480003457,1,371947.0,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,456.0,,
,48,2023-05-27,480003457,2,371947.0,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,456.0,,
,48,2023-05-27,480003456,1,362221.0,LENTE CR LED BLUE PRONTA,1,187.5,,
,48,2023-05-27,480003456,2,368995.0,LENTE POLY AR BLUE UV PRONTA,1,187.5,,
,48,2023-05-27,480003456,3,368995.0,LENTE POLY AR BLUE UV PRONTA,1,187.5,,
,48,2023-05-27,480003456,4,362221.0,LENTE CR LED BLUE PRONTA,1,187.5,,
,48,2023-05-27,480003455,1,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,565.0,,
,48,2023-05-27,480003455,2,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,565.0,,
,48,2023-05-27,480003454,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,375.0,,
,48,2023-05-27,480003454,2,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,375.0,,
X,48,2023-05-26,480003453,1,370727.0,ARMAÇAO DIVERSA CAMPANHA,1,249.99,,
,48,2023-05-26,480003453,2,370727.0,ARMAÇAO DIVERSA CAMPANHA,1,200.0,,
,48,2023-05-26,480003452,1,368995.0,LENTE POLY AR BLUE UV PRONTA,1,195.0,,
,48,2023-05-26,480003452,2,368995.0,LENTE POLY AR BLUE UV PRONTA,1,195.0,,
,48,2023-05-26,480003451,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,90.0,,
,48,2023-05-26,480003451,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,90.0,,
,48,2023-05-25,480003450,1,359199.0,LENTE AMPLUS 1.50 HARD,1,247.5,,
,48,2023-05-25,480003450,2,359199.0,LENTE AMPLUS 1.50 HARD,1,247.5,,
,48,2023-05-25,480003450,3,359199.0,LENTE AMPLUS 1.50 HARD,1,247.5,,
,48,2023-05-25,480003450,4,359199.0,LENTE AMPLUS 1.50 HARD,1,247.5,,
,48,2023-05-24,480003449,1,366190.0,LENTE CR INCOLOR FOSCA,1,7.0,,
,48,2023-05-24,480003449,2,366190.0,LENTE CR INCOLOR FOSCA,1,7.0,,
,48,2023-05-24,480003449,3,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,753.0,,
,48,2023-05-24,480003449,4,356971.0,LENTE ARGOS CR 39 CLEAN EXTRA - IN,1,753.0,,
,48,2023-05-24,480003448,1,361831.0,AJUSTES NA ARMAÇÃO,1,240.0,,
,48,2023-05-24,480003447,1,370610.0,SOLDA GARANTIA,1,0.01,,
,48,2023-05-24,480003446,1,30050.0,LENTE CR INCOLOR PRONTA - IN,1,125.0,,
,48,2023-05-24,480003446,2,30050.0,LENTE CR INCOLOR PRONTA - IN,1,125.0,,
X,48,2023-05-23,480003445,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-23,480003445,2,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,50.0,,
,48,2023-05-23,480003444,1,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,769.5,,
,48,2023-05-23,480003444,2,356288.0,LENTE AMPLUS 1.50 CLEAN EXTRA-INC,1,769.5,,
X,48,2023-05-23,480003443,1,361842.0,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2023-05-23,480003443,2,361842.0,ARMAÇÃO,1,200.0,,
,48,2023-05-23,480003442,1,374633.0,REC ASPEN AS1305 C1,1,250.0,,
,48,2023-05-23,480003441,1,361846.0,LENTE MULTIFOCAL C.O DIGITAL ANT-REFLEXO,1,700.0,,
