Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,42,2021-03-31,420003027,2,10448,SOLDA COMUM,1,85.0,,
X,42,2021-03-31,420003027,1,10448,SOLDA COMUM,1,35.0,,
,42,2021-03-31,420003026,2,362221,LENTE CR LED BLUE PRONTA,1,320.0,,
,42,2021-03-31,420003026,1,362221,LENTE CR LED BLUE PRONTA,1,320.0,,
,42,2021-03-31,420003025,3,364783,FL REC T357 C4,1,251.12,,
,42,2021-03-31,420003025,1,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,99.44,,
,42,2021-03-31,420003025,2,30240,LENTE FOTOSSENSIVEL AR PRONTA - CIN,1,99.45,,
,42,2021-03-30,420003024,1,371863,REC BELLATIS TR7514 C2,1,293.66,,
,42,2021-03-30,420003024,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,73.17,,
,42,2021-03-30,420003024,3,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,73.17,,
,42,2021-03-30,420003023,3,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,79.74,,
,42,2021-03-30,420003023,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,79.74,,
,42,2021-03-30,420003023,1,366541,URBAN REC BA309 C6,1,160.52,,
,42,2021-03-30,420003022,2,362221,LENTE CR LED BLUE PRONTA,1,127.25,,
,42,2021-03-30,420003022,3,371837,REC FL SL5401 C1,1,255.51,,
,42,2021-03-30,420003022,1,362221,LENTE CR LED BLUE PRONTA,1,127.24,,
,42,2021-03-30,420003021,2,40385,LENTE VX COMFORT 360° CRIZAL FORTE - IN,1,0.01,,
,42,2021-03-30,420003021,1,40385,LENTE VX COMFORT 360° CRIZAL FORTE - IN,1,0.01,,
,42,2021-03-30,420003020,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,250.0,,
,42,2021-03-30,420003020,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,250.0,,
,42,2021-03-30,420003019,1,372121,ROMANO REC RO101 C2,1,320.59,,
,42,2021-03-30,420003019,3,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,68.43,,
,42,2021-03-30,420003019,6,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,119.42,,
,42,2021-03-30,420003019,5,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,119.42,,
,42,2021-03-30,420003019,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,68.43,,
,42,2021-03-30,420003019,4,371827,REC BELLATIS SL2017 C4,1,183.71,,
,42,2021-03-30,420003018,1,11969,ARMAÇÃO REC GL PROMOÇÃO GL_PROMO_DIV UNICA,1,150.0,,
,42,2021-03-30,420003017,1,371740,URBAN REC 8849 C7,1,99.99,,
,42,2021-03-30,420003017,4,365393,LENTE MULTIFOCAL SMALL CR ANT-REFLEXO,1,225.01,,
,42,2021-03-30,420003017,2,371817,BELLATIS SOL JL8201 C1,1,99.99,,
,42,2021-03-30,420003017,3,365393,LENTE MULTIFOCAL SMALL CR ANT-REFLEXO,1,225.01,,
,42,2021-03-30,420003016,2,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,625.5,,
,42,2021-03-30,420003016,1,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,625.5,,
,42,2021-03-30,420003015,2,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,269.7,,
,42,2021-03-30,420003015,1,361846,LENTE MULTIFOCAL C.O PRO HD ANT-REFLEXO,1,269.7,,
,42,2021-03-29,420003014,1,356154,LENTE VX COMFORT SHORT ORMA TRANS ESTOQUE,1,456.07,,
,42,2021-03-29,420003014,3,62369,LENTE VX LIBERTY 360 ORMA CRIZAL EASY - IN,1,0.01,,
,42,2021-03-29,420003014,5,371819,FL SOL YD1517 C3,1,115.45,,
,42,2021-03-29,420003014,2,62369,LENTE VX LIBERTY 360 ORMA CRIZAL EASY - IN,1,0.01,,
,42,2021-03-29,420003014,4,356979,LENTE VX PHYSIO 1.67 TRANS  ESTOQUE,1,802.46,,
,42,2021-03-29,420003013,3,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,73.48,,
,42,2021-03-29,420003013,4,11969,ARMAÇÃO REC GL PROMOÇÃO GL_PROMO_DIV UNICA,1,49.31,,
,42,2021-03-29,420003013,1,371826,REC BELLATIS SL6802 C4,1,197.25,,
,42,2021-03-29,420003013,6,367443,LENTE  FOTO CR SURF,1,292.94,,
,42,2021-03-29,420003013,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,73.48,,
,42,2021-03-29,420003013,5,367443,LENTE  FOTO CR SURF,1,292.94,,
,42,2021-03-29,420003012,1,365177,LENTE TOTALL LUX BASIC CR FOTO AR,1,449.99,,
,42,2021-03-29,420003012,2,365177,LENTE TOTALL LUX BASIC CR FOTO AR,1,450.0,,
,42,2021-03-29,420003011,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,100.0,,
,42,2021-03-29,420003011,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,100.01,,
,42,2021-03-27,420003010,1,370610,SOLDA GARANTIA,1,0.01,,
,42,2021-03-27,420003009,2,371769,REC BELLATIS SL80484 C3,1,182.0,,
,42,2021-03-27,420003009,3,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,199.0,,
,42,2021-03-27,420003009,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,219.0,,
,42,2021-03-27,420003008,1,368995,LENTE POLY BLUE UV PRONTA,1,169.25,,
,42,2021-03-27,420003008,2,368995,LENTE POLY BLUE UV PRONTA,1,169.26,,
,42,2021-03-27,420003008,3,371822,REC BELLATIS VS6032 C1,1,201.49,,
,42,2021-03-27,420003007,3,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,201.5,,
,42,2021-03-27,420003007,1,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,201.5,,
,42,2021-03-27,420003007,2,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,201.5,,
,42,2021-03-27,420003007,4,40006,LENTE MULTIFOCAL CR INCOLOR ANT-REFLEXO - I,1,201.5,,
