Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2022-11-30,480002970,1,30058,LENTE POLI 1.59 AR PRONTA - IN,1,144.5,,
,48,2022-11-30,480002970,2,30058,LENTE POLI 1.59 AR PRONTA - IN,1,144.5,,
,48,2022-11-30,480002970,3,380216,BELLATIS REC FD99001 C6,1,249.99,,
,48,2022-11-30,480002970,4,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,199.0,,
,48,2022-11-30,480002970,5,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,199.0,,
,48,2022-11-30,480002970,6,379402,BELLATIS REC YY5511 C1,1,249.99,,
,48,2022-11-30,480002969,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-30,480002969,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-30,480002969,3,384242,RUN REC YH5827 C2,1,199.99,,
,48,2022-11-30,480002968,1,30009,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2022-11-30,480002968,2,30009,LENTE MULTIFOCAL CR FOTO - FT,1,245.25,,
,48,2022-11-30,480002968,3,378795,BELLATIS REC FD66008 C4,1,249.99,,
,48,2022-11-30,480002968,4,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2022-11-30,480002968,5,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2022-11-30,480002967,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-30,480002967,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-30,480002966,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-11-30,480002965,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,225.0,,
,48,2022-11-30,480002965,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,225.0,,
,48,2022-11-30,480002964,1,374662,REC ATHENAS ATH2513 C1,1,349.99,,
,48,2022-11-30,480002964,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,200.0,,
,48,2022-11-30,480002964,3,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,200.01,,
,48,2022-11-30,480002963,1,30214,"LENTE CR AR 1.56 CIL ACIMA DE 200 ATE -5,00",1,75.0,,
,48,2022-11-30,480002963,2,30214,"LENTE CR AR 1.56 CIL ACIMA DE 200 ATE -5,00",1,75.0,,
,48,2022-11-30,480002963,3,381961,BELLATIS REC ISA1101 C1,1,150.0,,
,48,2022-11-29,480002962,1,382818,ATITUDE REC AT1630N 01A,1,349.99,,
,48,2022-11-29,480002962,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,200.0,,
,48,2022-11-29,480002962,3,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,200.01,,
,48,2022-11-29,480002961,1,382790,FL REC FD655013 C5,1,199.99,,
,48,2022-11-29,480002961,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,144.25,,
,48,2022-11-29,480002961,3,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,144.25,,
,48,2022-11-29,480002961,4,30009,LENTE MULTIFOCAL CR FOTO - FT,1,325.75,,
,48,2022-11-29,480002961,5,30009,LENTE MULTIFOCAL CR FOTO - FT,1,325.76,,
,48,2022-11-29,480002960,1,370610,SOLDA GARANTIA,1,0.01,,
X,48,2022-11-29,480002959,1,30082,LENTE BALUX CR INCOLOR - IN,1,66.7,,
X,48,2022-11-29,480002959,2,30082,LENTE BALUX CR INCOLOR - IN,1,66.7,,
X,48,2022-11-29,480002959,3,374687,REC ASPEN AS1313 C1,1,146.6,,
,48,2022-11-29,480002958,1,384267,RUN REC ISA2048 C1,1,123.7,,
,48,2022-11-29,480002958,2,362221,LENTE CR LED BLUE PRONTA,1,142.5,,
,48,2022-11-29,480002958,3,362221,LENTE CR LED BLUE PRONTA,1,142.5,,
,48,2022-11-28,480002957,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-11-26,480002956,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,130.81,,
,48,2022-11-26,480002956,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,130.81,,
,48,2022-11-26,480002956,3,384275,FL REC FD66025 C6,1,218.38,,
,48,2022-11-26,480002955,1,379291,ATITUDE REC ATK6026IN T03,1,324.2,,
,48,2022-11-26,480002955,2,369206,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,277.9,,
,48,2022-11-26,480002955,3,369206,"LENTE POLI FOTO AR PRONTA ESF+4,00 A-4,00 ESF CIL2",1,277.9,,
,48,2022-11-26,480002954,1,368995,LENTE POLY AR BLUE UV PRONTA,1,161.9,,
,48,2022-11-26,480002954,2,368995,LENTE POLY AR BLUE UV PRONTA,1,161.9,,
,48,2022-11-26,480002954,3,361812,LENTE POLY AR ESPECIAL-PRONTA,1,119.98,,
,48,2022-11-26,480002954,4,361812,LENTE POLY AR ESPECIAL-PRONTA,1,119.98,,
,48,2022-11-26,480002954,5,380055,FL REC BR7744 C5,1,192.73,,
,48,2022-11-26,480002954,6,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.8,,
,48,2022-11-26,480002954,7,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.8,,
,48,2022-11-26,480002953,1,362221,LENTE CR LED BLUE PRONTA,1,127.44,,
,48,2022-11-26,480002953,2,362221,LENTE CR LED BLUE PRONTA,1,127.44,,
,48,2022-11-26,480002953,3,381963,BELLATIS REC ISA1097 C5,1,223.58,,
,48,2022-11-26,480002953,4,366190,LENTE CR INCOLOR FOSCA,1,35.77,,
,48,2022-11-26,480002953,5,366190,LENTE CR INCOLOR FOSCA,1,35.77,,
,48,2022-11-26,480002952,1,384250,RUN REC FD655019 C4,1,199.99,,
,48,2022-11-26,480002952,2,30050,LENTE CR INCOLOR PRONTA - IN,1,89.99,,
,48,2022-11-26,480002952,3,30050,LENTE CR INCOLOR PRONTA - IN,1,90.02,,
,48,2022-11-26,480002951,1,384266,RUN REC FD655019 C3,1,140.0,,
,48,2022-11-26,480002951,2,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,105.0,,
,48,2022-11-26,480002951,3,30399,LENTE MULTIFOCAL CR INCOLOR - IN,1,105.0,,
,48,2022-11-26,480002950,1,369931,OL SOLAR DIVERSOS,1,80.0,,
,48,2022-11-26,480002949,1,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,137.94,,
,48,2022-11-26,480002949,2,30011,LENTE MULTIFOCAL CR INCOLOR -IN,1,137.94,,
,48,2022-11-26,480002949,3,362221,LENTE CR LED BLUE PRONTA,1,136.27,,
,48,2022-11-26,480002949,4,362221,LENTE CR LED BLUE PRONTA,1,136.27,,
,48,2022-11-26,480002949,5,381602,SPEEDO REC SP6126I A11,1,621.58,,
X,48,2022-11-26,480002948,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA 000 A+300 ESF,1,195.25,,
X,48,2022-11-26,480002948,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA 000 A+300 ESF,1,158.05,,
X,48,2022-11-26,480002948,3,384194,BELLATIS REC BR7717 C2,1,198.7,,
,48,2022-11-26,480002947,1,40007,LENTE MULTIFOCAL POLI INC ANT-REFLEXO - IN,1,370.0,,
,48,2022-11-26,480002947,2,40007,LENTE MULTIFOCAL POLI INC ANT-REFLEXO - IN,1,370.0,,
,48,2022-11-26,480002947,3,379285,ATITUDE REC AT1621N 06A,1,360.0,,
,48,2022-11-26,480002946,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-26,480002946,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-26,480002946,3,381902,BELLATIS REC FD633160 C1,1,250.5,,
,48,2022-11-26,480002945,1,11969,ARM REC GL_PROMO_UNICA,1,96.38,,
,48,2022-11-26,480002945,2,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.81,,
,48,2022-11-26,480002945,3,52323,LENTE CR 1.49 AR ESPECIAL - IN,1,71.81,,
,48,2022-11-24,480002944,1,382684,BELLATIS REC ISA1101 C2,1,249.99,,
,48,2022-11-24,480002944,2,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2022-11-24,480002944,3,366190,LENTE CR INCOLOR FOSCA,1,40.0,,
,48,2022-11-24,480002944,4,374463,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,255.0,,
,48,2022-11-24,480002944,5,374463,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1,255.01,,
X,48,2022-11-23,480002943,1,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,148.99,,
X,48,2022-11-23,480002943,2,366435,"LENTE MULTI POLI AR PRONTA ESF ATE +2,00 AD ATE3,0",1,148.99,,
X,48,2022-11-23,480002943,3,383186,BELLATIS CLIP-ON LQ95965 C4,1,262.02,,
,48,2022-11-23,480002942,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-23,480002942,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,149.75,,
,48,2022-11-23,480002942,3,382821,RUN REC FD66006 C1,1,350.5,,
,48,2022-11-23,480002941,1,370610,SOLDA GARANTIA,1,0.01,,
,48,2022-11-23,480002940,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,224.03,,
