Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2021-10-29,480001468,4,362221,LENTE CR LED BLUE PRONTA,1,137.5,,
,48,2021-10-29,480001468,3,362221,LENTE CR LED BLUE PRONTA,1,137.5,,
,48,2021-10-29,480001468,2,362221,LENTE CR LED BLUE PRONTA,1,137.5,,
,48,2021-10-29,480001468,1,362221,LENTE CR LED BLUE PRONTA,1,137.5,,
,48,2021-10-29,480001467,7,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,70.25,,
,48,2021-10-29,480001467,6,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,70.25,,
,48,2021-10-29,480001467,4,359448,SOLDA CORTESIA,1,0.01,,
,48,2021-10-29,480001467,5,370266,ARM OL KIDS BL501 C4 48,1,141.43,,
,48,2021-10-29,480001467,3,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,313.07,,
,48,2021-10-29,480001467,2,371947,LENTE HOYA VS PREMIUM 1.50 BLUECONTROL PRONTA,1,313.06,,
,48,2021-10-29,480001467,1,371512,FL REC SHL9012 C2,1,281.93,,
,48,2021-10-29,480001466,2,360262,LENTE MULTIFOCAL C.O PRO HD,1,169.81,,
,48,2021-10-29,480001466,1,360262,LENTE MULTIFOCAL C.O PRO HD,1,169.81,,
,48,2021-10-29,480001466,3,371469,BELLATIS REC MT2978 C3,1,260.38,,
,48,2021-10-28,480001465,3,362221,LENTE CR LED BLUE PRONTA,1,135.32,,
,48,2021-10-28,480001465,2,362221,LENTE CR LED BLUE PRONTA,1,135.33,,
,48,2021-10-28,480001465,1,368031,ARM REC SP7018 H01,1,379.35,,
,48,2021-10-27,480001464,1,362221,LENTE CR LED BLUE PRONTA,1,250.0,,
,48,2021-10-27,480001464,2,362221,LENTE CR LED BLUE PRONTA,1,250.0,,
,48,2021-10-27,480001463,2,361829,PLAQUETA,1,15.01,,
,48,2021-10-27,480001463,1,361842,LIMPEZA COMPLETA COM AJUSTES,1,19.99,,
,48,2021-10-27,480001462,1,362221,LENTE CR LED BLUE PRONTA,1,127.56,,
,48,2021-10-27,480001462,2,362221,LENTE CR LED BLUE PRONTA,1,127.55,,
,48,2021-10-27,480001462,3,373494,BELLATIS REC Z30103 C1,1,204.89,,
,48,2021-10-26,480001461,4,30046,"LENTE POLI AR CIL ACIMA 2,00 ATÉ -4,00",1,211.37,,
,48,2021-10-26,480001461,3,370997,ARM REC RUN GX494-1 C1,1,204.53,,
,48,2021-10-26,480001461,1,30046,"LENTE POLI AR CIL ACIMA 2,00 ATÉ -4,00",1,211.36,,
,48,2021-10-26,480001461,2,30046,"LENTE POLI AR CIL ACIMA 2,00 ATÉ -4,00",1,211.37,,
,48,2021-10-26,480001461,5,30046,"LENTE POLI AR CIL ACIMA 2,00 ATÉ -4,00",1,211.37,,
,48,2021-10-26,480001460,1,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,172.0,,
,48,2021-10-26,480001460,2,30056,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,172.0,,
,48,2021-10-26,480001459,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.7,,
,48,2021-10-26,480001459,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,124.7,,
,48,2021-10-25,480001458,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,333.0,,
,48,2021-10-25,480001458,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,333.0,,
,48,2021-10-25,480001457,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,248.29,,
,48,2021-10-25,480001457,1,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,248.29,,
,48,2021-10-25,480001457,3,371013,BELLATIS REC 68180 C1,1,283.42,,
,48,2021-10-23,480001456,1,30400,LENTE MULTIFOCAL POLI INC - IN,1,250.0,,
,48,2021-10-23,480001456,2,30400,LENTE MULTIFOCAL POLI INC - IN,1,250.0,,
,48,2021-10-23,480001455,1,367847,SABRINA SATO SS515 C1,1,587.42,,
,48,2021-10-23,480001455,3,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,257.29,,
,48,2021-10-23,480001455,2,364762,"LENTE MULTIFOCAL FOTO AR PRONTA ATÉ+3,00 ESF",1,257.29,,
,48,2021-10-23,480001454,2,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,145.0,,
,48,2021-10-23,480001454,1,30227,LENTE MULTIFOCAL INCOLOR C/AR PRONTA - IN,1,145.0,,
