Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-10-31,480003864.0,1.0,364900.0,"LENTE CR BLUE CUT CIL ACIMA DE 2,00 VERDE",1.0,150.0,,
,48,2023-10-31,480003864.0,2.0,364900.0,"LENTE CR BLUE CUT CIL ACIMA DE 2,00 VERDE",1.0,150.0,,
,48,2023-10-31,480003863.0,1.0,370610.0,SOLDA GARANTIA,1.0,0.01,,
,48,2023-10-31,480003862.0,1.0,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1.0,445.0,,
,48,2023-10-31,480003862.0,2.0,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1.0,445.0,,
,48,2023-10-28,480003861.0,1.0,370610.0,SOLDA GARANTIA,1.0,0.01,,
,48,2023-10-27,480003860.0,1.0,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1.0,396.0,,
,48,2023-10-27,480003860.0,2.0,360262.0,LENTE MULTIFOCAL C.O DIGITAL CR,1.0,396.0,,
,48,2023-10-27,480003859.0,1.0,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1.0,242.5,,
,48,2023-10-27,480003859.0,2.0,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1.0,242.5,,
,48,2023-10-26,480003858.0,1.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,420.0,,
,48,2023-10-26,480003858.0,2.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,420.0,,
,48,2023-10-26,480003857.0,1.0,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1.0,325.0,,
,48,2023-10-26,480003857.0,2.0,374463.0,LENTE MULTI CR BLUE ESF +3.00 AD +3.00,1.0,325.0,,
,48,2023-10-26,480003856.0,1.0,381408.0,LENTE CR 1.56 BLUE AZUL RESIDUAL AZUL PRONTA,1.0,199.0,,
,48,2023-10-26,480003856.0,2.0,381408.0,LENTE CR 1.56 BLUE AZUL RESIDUAL AZUL PRONTA,1.0,199.0,,
X,48,2023-10-25,480003855.0,1.0,10448.0,SOLDA COMUM,1.0,49.99,,
,48,2023-10-25,480003855.0,2.0,10448.0,SOLDA COMUM,1.0,50.0,,
,48,2023-10-25,480003854.0,1.0,10448.0,SOLDA COMUM,1.0,80.0,,
,48,2023-10-24,480003853.0,1.0,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1.0,396.0,,
,48,2023-10-24,480003853.0,2.0,30399.0,LENTE MULTIFOCAL CR INCOLOR - IN,1.0,396.0,,
,48,2023-10-23,480003852.0,1.0,361826.0,ARMAÇÃO,1.0,249.0,,
,48,2023-10-23,480003851.0,1.0,361826.0,ARMAÇÃO,1.0,322.0,,
,48,2023-10-23,480003850.0,1.0,387697.0,LENTE 161  BLUE UV PRONTA,1.0,250.0,,
,48,2023-10-23,480003850.0,2.0,387697.0,LENTE 161  BLUE UV PRONTA,1.0,250.0,,
,48,2023-10-21,480003849.0,1.0,30001.0,LENTE POLI INCOLOR SURFAÇADA - IN,1.0,650.0,,
,48,2023-10-21,480003849.0,2.0,30001.0,LENTE POLI INCOLOR SURFAÇADA - IN,1.0,650.0,,
,48,2023-10-20,480003848.0,1.0,30012.0,LENTE MULTIFOCAL POLI FOTO DIGITAL,1.0,1070.0,,
,48,2023-10-20,480003848.0,2.0,30012.0,LENTE MULTIFOCAL POLI FOTO DIGITAL,1.0,1070.0,,
,48,2023-10-20,480003847.0,1.0,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1.0,296.0,,
,48,2023-10-20,480003847.0,2.0,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1.0,296.0,,
,48,2023-10-20,480003846.0,1.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,370.0,,
,48,2023-10-20,480003846.0,2.0,40004.0,LENTE MULTIFOCAL CR FOTO ANT-REFLEXO - FT,1.0,370.0,,
,48,2023-10-20,480003846.0,3.0,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1.0,195.0,,
,48,2023-10-20,480003846.0,4.0,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1.0,195.0,,
,48,2023-10-20,480003845.0,1.0,387069.0,LENTE MULTIFOCAL DIGITAL 1.56 BLUE SEM AR,1.0,390.0,,
,48,2023-10-20,480003845.0,2.0,387069.0,LENTE MULTIFOCAL DIGITAL 1.56 BLUE SEM AR,1.0,390.0,,
,48,2023-10-20,480003844.0,1.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,287.5,,
,48,2023-10-20,480003844.0,2.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,287.5,,
,48,2023-10-20,480003844.0,3.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,287.5,,
,48,2023-10-20,480003844.0,4.0,385097.0,LENTE CR 1.56 BLUE AZUL CIL ACIMA DE 2 PRONT,1.0,287.5,,
,48,2023-10-19,480003843.0,1.0,379390.0,LENTE BALUX CR  DIGITAL,1.0,228.0,,
,48,2023-10-19,480003843.0,2.0,379390.0,LENTE BALUX CR  DIGITAL,1.0,228.0,,
,48,2023-10-19,480003842.0,1.0,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1.0,400.0,,
