Inativo,Emp.,Dt.DAV,Nro.DAV,Item,Produto,Modelo,Qtd.,Vl.Total,Grupo,Detalhe
,48,2023-09-29,480003804,1,368998.0,LENTE POLI AR BLUE UV CIL ACIMA DE 200 PRONTA,1,295.0,,
,48,2023-09-29,480003804,2,368998.0,LENTE POLI AR BLUE UV CIL ACIMA DE 200 PRONTA,1,295.0,,
,48,2023-09-28,480003803,1,10448.0,SOLDA COMUM,1,100.0,,
X,48,2023-09-27,480003802,1,361827.0,TROCA DO SUPORTE DE PLAQUETA C/SOLDA,1,89.99,,
X,48,2023-09-27,480003802,2,361829.0,PLAQUETA,1,12.99,,
X,48,2023-09-27,480003802,3,361835.0,PARAFUSO,1,12.99,,
X,48,2023-09-27,480003802,4,361835.0,PARAFUSO,1,12.99,,
X,48,2023-09-27,480003802,5,361829.0,PLAQUETA,1,12.99,,
,48,2023-09-27,480003802,6,361829.0,PLAQUETA,1,17.5,,
,48,2023-09-27,480003802,7,361829.0,PLAQUETA,1,17.5,,
,48,2023-09-27,480003802,8,361835.0,PARAFUSO,1,17.5,,
,48,2023-09-27,480003802,9,361835.0,PARAFUSO,1,17.5,,
,48,2023-09-27,480003801,1,361837.0,MONTAGEM DE LENTE SURFAÇADA,1,150.0,,
,48,2023-09-27,480003800,1,364900.0,"LENTE CR BLUE CUT CIL ACIMA DE 2,00",1,174.5,,
,48,2023-09-27,480003800,2,364900.0,"LENTE CR BLUE CUT CIL ACIMA DE 2,00",1,174.5,,
X,48,2023-09-27,480003799,1,361826.0,ARMAÇÃO,1,179.99,,
X,48,2023-09-27,480003799,2,361826.0,ARMAÇÃO,1,169.01,,
X,48,2023-09-27,480003799,3,361826.0,ARMAÇÃO,1,349.0,,
X,48,2023-09-27,480003799,4,10448.0,SOLDA COMUM,1,49.99,,
X,48,2023-09-27,480003799,5,366134.0,LENTE CR INCOLOR SURFAÇADA BLUE LIGHT-AR DM76,1,390.0,,
X,48,2023-09-27,480003799,6,366134.0,LENTE CR INCOLOR SURFAÇADA BLUE LIGHT-AR DM76,1,390.0,,
X,48,2023-09-27,480003799,7,361826.0,ARMAÇÃO,1,179.99,,
,48,2023-09-27,480003798,1,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,327.5,,
,48,2023-09-27,480003798,2,30009.0,LENTE MULTIFOCAL CR FOTO - FT,1,327.5,,
,48,2023-09-26,480003797,1,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,150.0,,
,48,2023-09-26,480003797,2,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,150.0,,
,48,2023-09-26,480003797,3,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,200.0,,
,48,2023-09-26,480003797,4,30056.0,"LENTE CR AR PRONTA 0,00 ATÉ 4,00 ESF CIL ATÉ 2,00",1,200.0,,
,48,2023-09-26,480003796,1,10448.0,ARMAÇÃO,1,150.0,,
