os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem
1094,8,1217.0,35,ENTREGA_CARNE,07,"[1094, 8, 1217]",2025-04-07,Suzano 2,suzano2,abr_25.xlsx
1100,4,503.0,35,ENTREGA_CARNE,11,"[1100, 4, 503]",2025-04-11,Suzano 2,suzano2,abr_25.xlsx
966,8,898.0,35,ENTREGA_CARNE,07,"[966, 8, 898]",2024-08-07,,suzano2,ago_24.xlsx
967,5,300.0,36,ENTREGA_CARNE,07,"[967, 5, 300]",2024-08-07,,suzano2,ago_24.xlsx
972,7,699.0,35,ENTREGA_CARNE,08,"[972, 7, 699]",2024-08-08,,suzano2,ago_24.xlsx
969,8,989.0,35,ENTREGA_CARNE,16,"[969, 8, 989]",2024-08-16,,suzano2,ago_24.xlsx
942,8,784.2,35,ENTREGA_CARNE,30,"[942, 8, 784.2]",2024-08-30,,suzano2,ago_24.xlsx
811,4,452.0,35,ENTREGA_CARNE,15,"[811, 4, 452]",2023-12-15,,suzano2,dez_23.xlsx
812,2,226.0,36,ENTREGA_CARNE,15,"[812, 2, 226]",2023-12-15,,suzano2,dez_23.xlsx
797,4,450.0,37,ENTREGA_CARNE,15,"[797, 4, 450]",2023-12-15,,suzano2,dez_23.xlsx
820,5,445.0,35,ENTREGA_CARNE,18,"[820, 5, 445]",2023-12-18,,suzano2,dez_23.xlsx
809,6,1044.0,35,ENTREGA_CARNE,20,"[809, 6, 1044]",2023-12-20,,suzano2,dez_23.xlsx
824,5,240.0,35,ENTREGA_CARNE,21,"[824, 5, 240]",2023-12-21,,suzano2,dez_23.xlsx
810,3,210.0,35,ENTREGA_CARNE,22,"[810, 3, 210]",2023-12-22,,suzano2,dez_23.xlsx
822,8,590.0,35,ENTREGA_CARNE,26,"[822, 8, 590]",2023-12-26,,suzano2,dez_23.xlsx
1028,5,1249.0,35,ENTREGA_CARNE,05,"[1028, 5, 1249]",2024-12-05,,suzano2,dez_24.xlsx
