os,vendedor,carne,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem
875,FELIPE,Não,15,OS_ENTREGUES_DIA,03,"[875, 'FELIPE', 'Não']",2024-04-03,,suzano2,abr_24.xlsx
887,FELIPE,Não,15,OS_ENTREGUES_DIA,04,"[887, 'FELIPE', 'Não']",2024-04-04,,suzano2,abr_24.xlsx
879,FELIPE,Não,16,OS_ENTREGUES_DIA,04,"[879, 'FELIPE', 'Não']",2024-04-04,,suzano2,abr_24.xlsx
888,FELIPE,NÃO,15,OS_ENTREGUES_DIA,05,"[888, 'FELIPE', 'NÃO']",2024-04-05,,suzano2,abr_24.xlsx
883,FELIPE,Não,15,OS_ENTREGUES_DIA,06,"[883, 'FELIPE', 'Não']",2024-04-06,,suzano2,abr_24.xlsx
884,FELIPE,Não,15,OS_ENTREGUES_DIA,08,"[884, 'FELIPE', 'Não']",2024-04-08,,suzano2,abr_24.xlsx
885,FELIPE,Não,16,OS_ENTREGUES_DIA,08,"[885, 'FELIPE', 'Não']",2024-04-08,,suzano2,abr_24.xlsx
889,FELIPE,Não,15,OS_ENTREGUES_DIA,16,"[889, 'FELIPE', 'Não']",2024-04-16,,suzano2,abr_24.xlsx
886,FELIPE,Não,15,OS_ENTREGUES_DIA,19,"[886, 'FELIPE', 'Não']",2024-04-19,,suzano2,abr_24.xlsx
896,TATY,Não,16,OS_ENTREGUES_DIA,19,"[896, 'TATY', 'Não']",2024-04-19,,suzano2,abr_24.xlsx
902,TATY,Não,17,OS_ENTREGUES_DIA,19,"[902, 'TATY', 'Não']",2024-04-19,,suzano2,abr_24.xlsx
907,FELIPE,Não,18,OS_ENTREGUES_DIA,19,"[907, 'FELIPE', 'Não']",2024-04-19,,suzano2,abr_24.xlsx
908,FELIPE,Não,19,OS_ENTREGUES_DIA,19,"[908, 'FELIPE', 'Não']",2024-04-19,,suzano2,abr_24.xlsx
893,WEVILLY,Não,15,OS_ENTREGUES_DIA,20,"[893, 'WEVILLY', 'Não']",2024-04-20,,suzano2,abr_24.xlsx
896,TATY,Não,15,OS_ENTREGUES_DIA,22,"[896, 'TATY', 'Não']",2024-04-22,,suzano2,abr_24.xlsx
911,FELIPE,Não,15,OS_ENTREGUES_DIA,23,"[911, 'FELIPE', 'Não']",2024-04-23,,suzano2,abr_24.xlsx
903,TATY,Não,15,OS_ENTREGUES_DIA,26,"[903, 'TATY', 'Não']",2024-04-26,,suzano2,abr_24.xlsx
912,FELIPE,Não,15,OS_ENTREGUES_DIA,27,"[912, 'FELIPE', 'Não']",2024-04-27,,suzano2,abr_24.xlsx
1094,FELIPE,Sim,15,OS_ENTREGUES_DIA,07,"[1094, 'FELIPE', 'Sim']",2025-04-07,Suzano 2,suzano2,abr_25.xlsx
1102,FELIPE,Não,15,OS_ENTREGUES_DIA,10,"[1102, 'FELIPE', 'Não']",2025-04-10,Suzano 2,suzano2,abr_25.xlsx
1103,FELIPE,Não,16,OS_ENTREGUES_DIA,10,"[1103, 'FELIPE', 'Não']",2025-04-10,Suzano 2,suzano2,abr_25.xlsx
1100,FELIPE,Sim,15,OS_ENTREGUES_DIA,11,"[1100, 'FELIPE', 'Sim']",2025-04-11,Suzano 2,suzano2,abr_25.xlsx
1101,FELIPE,Não,16,OS_ENTREGUES_DIA,11,"[1101, 'FELIPE', 'Não']",2025-04-11,Suzano 2,suzano2,abr_25.xlsx
1110,FELIPE,Não,15,OS_ENTREGUES_DIA,24,"[1110, 'FELIPE', 'Não']",2025-04-24,Suzano 2,suzano2,abr_25.xlsx
1104,FELIPE,Não,15,OS_ENTREGUES_DIA,25,"[1104, 'FELIPE', 'Não']",2025-04-25,Suzano 2,suzano2,abr_25.xlsx
1107,FELIPE,Não,16,OS_ENTREGUES_DIA,25,"[1107, 'FELIPE', 'Não']",2025-04-25,Suzano 2,suzano2,abr_25.xlsx
1108,FELIPE,Não,17,OS_ENTREGUES_DIA,25,"[1108, 'FELIPE', 'Não']",2025-04-25,Suzano 2,suzano2,abr_25.xlsx
1105,FELIPE,Não,15,OS_ENTREGUES_DIA,28,"[1105, 'FELIPE', 'Não']",2025-04-28,Suzano 2,suzano2,abr_25.xlsx
1111,FELIPE,Não,15,OS_ENTREGUES_DIA,29,"[1111, 'FELIPE', 'Não']",2025-04-29,Suzano 2,suzano2,abr_25.xlsx
733,Rogério ,,15,OS_ENTREGUES_DIA,10,"[733, 'Rogério ', '']",2023-08-10,,suzano2,ago_23.xlsx
734,Rogério ,,16,OS_ENTREGUES_DIA,10,"[734, 'Rogério ', '']",2023-08-10,,suzano2,ago_23.xlsx
735,Rogério ,,17,OS_ENTREGUES_DIA,10,"[735, 'Rogério ', '']",2023-08-10,,suzano2,ago_23.xlsx
736,Rogério,,15,OS_ENTREGUES_DIA,14,"[736, 'Rogério', '']",2023-08-14,,suzano2,ago_23.xlsx
737,Rogério,,16,OS_ENTREGUES_DIA,14,"[737, 'Rogério', '']",2023-08-14,,suzano2,ago_23.xlsx
738,Rogério,,17,OS_ENTREGUES_DIA,14,"[738, 'Rogério', '']",2023-08-14,,suzano2,ago_23.xlsx
740,Rogério,,15,OS_ENTREGUES_DIA,26,"[740, 'Rogério', '']",2023-08-26,,suzano2,ago_23.xlsx
743,Rogério,,15,OS_ENTREGUES_DIA,28,"[743, 'Rogério', '']",2023-08-28,,suzano2,ago_23.xlsx
742,Rogério,,15,OS_ENTREGUES_DIA,30,"[742, 'Rogério', '']",2023-08-30,,suzano2,ago_23.xlsx
