os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,vendedor_uuid,vendedor_nome_normalizado,canal_captacao_uuid,canal_captacao_nome,data_processamento,arquivo_origem_processado,loja_id,loja_nome
4098,3,399.0,35,ENTREGA_CARNE,2,"[4098, 3, 399]",2024-04-02,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4033,6,1884.0,35,ENTREGA_CARNE,5,"[4033, 6, 1884]",2024-04-05,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4125,5,1000.0,35,ENTREGA_CARNE,13,"[4125, 5, 1000]",2024-04-13,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4084,5,140.0,35,ENTREGA_CARNE,18,"[4084, 5, 140]",2024-04-18,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4168,1,130.0,35,ENTREGA_CARNE,20,"[4168, 1, 130]",2024-04-20,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4169,5,700.0,36,ENTREGA_CARNE,20,"[4169, 5, 700]",2024-04-20,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4083,5,700.0,35,ENTREGA_CARNE,23,"[4083, 5, 700]",2024-04-23,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4030,3,640.0,35,ENTREGA_CARNE,22,"[4030, 3, 640]",2024-04-22,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4179,2,350.0,35,ENTREGA_CARNE,26,"[4179, 2, 350]",2024-04-26,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4141,3,453.0,36,ENTREGA_CARNE,26,"[4141, 3, 453]",2024-04-26,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4182,5,555.0,35,ENTREGA_CARNE,30,"[4182, 5, 555]",2024-04-30,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4181,5,555.0,36,ENTREGA_CARNE,30,"[4181, 5, 555]",2024-04-30,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4161,5,750.0,37,ENTREGA_CARNE,30,"[4161, 5, 750]",2024-04-30,,maua,abr_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4846,6,599.0,35,ENTREGA_CARNE,12,"[4846, 6, 599]",2025-04-12,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4847,6,599.0,36,ENTREGA_CARNE,12,"[4847, 6, 599]",2025-04-12,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4847,1,,36,ENTREGA_CARNE,18,"['', 1, '']",2025-04-18,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4860,4,790.0,35,ENTREGA_CARNE,25,"[4860, 4, 790]",2025-04-25,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4849,6,495.0,35,ENTREGA_CARNE,28,"[4849, 6, 495]",2025-04-28,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4850,6,495.0,36,ENTREGA_CARNE,28,"[4850, 6, 495]",2025-04-28,MAUÁ,maua,abr_25.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4361,5,520.0,35,ENTREGA_CARNE,5,"[4361, 5, 520]",2024-08-05,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4362,5,520.0,36,ENTREGA_CARNE,5,"[4362, 5, 520]",2024-08-05,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4313,5,1540.0,35,ENTREGA_CARNE,6,"[4313, 5, 1540]",2024-08-06,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4357,5,750.0,36,ENTREGA_CARNE,6,"[4357, 5, 750]",2024-08-06,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4356,3,650.0,35,ENTREGA_CARNE,7,"[4356, 3, 650]",2024-08-07,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4347,5,550.0,35,ENTREGA_CARNE,10,"[4347, 5, 550]",2024-08-10,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4385,7,450.0,35,ENTREGA_CARNE,14,"[4385, 7, 450]",2024-08-14,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4405,5,660.0,35,ENTREGA_CARNE,19,"[4405, 5, 660]",2024-08-19,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4413,2,100.0,35,ENTREGA_CARNE,23,"[4413, 2, 100]",2024-08-23,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4406,3,1040.0,35,ENTREGA_CARNE,26,"[4406, 3, 1040]",2024-08-26,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4371,1,280.0,35,ENTREGA_CARNE,27,"[4371, 1, 280]",2024-08-27,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
4443,2,200.0,35,ENTREGA_CARNE,31,"[4443, 2, 200]",2024-08-31,,maua,ago_24.xlsx,,,,,2025-10-30 13:42:14.560235,entrega_carne_maua_com_uuids_enriquecido_completo,9a22ccf1-36fe-4b9f-9391-ca31433dc31e,MAUA
