os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem
8850,2,182,35,ENTREGA_CARNE,05,"[8850, 2, 182]",2024-04-05 00:00:00,,suzano,abr_24.xlsx
8847,7,720,35,ENTREGA_CARNE,06,"[8847, 7, 720]",2024-04-06 00:00:00,,suzano,abr_24.xlsx
8414,3,450,36,ENTREGA_CARNE,06,"[8414, 3, 450]",2024-04-06 00:00:00,,suzano,abr_24.xlsx
8907,4,50,35,ENTREGA_CARNE,12,"[8907, 4, 50]",2024-04-12 00:00:00,,suzano,abr_24.xlsx
8985,4,100,36,ENTREGA_CARNE,12,"[8985, 4, 100]",2024-04-12 00:00:00,,suzano,abr_24.xlsx
8885,5,1500,35,ENTREGA_CARNE,20,"[8885, 5, 1500]",2024-04-20 00:00:00,,suzano,abr_24.xlsx
8862,9,1426.95,35,ENTREGA_CARNE,22,"[8862, 9, 1426.95]",2024-04-22 00:00:00,,suzano,abr_24.xlsx
8996,5,495,35,ENTREGA_CARNE,26,"[8996, 5, 495]",2024-04-26 00:00:00,,suzano,abr_24.xlsx
9058,7,500,35,ENTREGA_CARNE,29,"[9058, 7, 500]",2024-04-29 00:00:00,,suzano,abr_24.xlsx
10732,6,880,35,ENTREGA_CARNE,04,"[10732, 6, 880]",2025-04-04 00:00:00,,suzano,abr_25.xlsx
10782,ARIANI,Não,35,ENTREGA_CARNE,12,"[10782, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10803,ARIANI,Não,36,ENTREGA_CARNE,12,"[10803, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10804,ARIANI,Não,37,ENTREGA_CARNE,12,"[10804, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10832,TATY,Não,38,ENTREGA_CARNE,12,"[10832, 'TATY', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10838,ARIANI,Não,39,ENTREGA_CARNE,12,"[10838, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10799,FELIPE,Não,40,ENTREGA_CARNE,12,"[10799, 'FELIPE', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10798,ARIANI,Não,41,ENTREGA_CARNE,12,"[10798, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
Entrega de Carne,,,43,ENTREGA_CARNE,12,"['Entrega de Carne', '', '']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
OS,Parcelas,Valor Total,44,ENTREGA_CARNE,12,"['OS', 'Parcelas', 'Valor Total']",2025-04-12 00:00:00,,suzano,abr_25.xlsx
10821,7,349.3,35,ENTREGA_CARNE,25,"[10821, 7, 349.3]",2025-04-25 00:00:00,,suzano,abr_25.xlsx
10811,6,804.3,35,ENTREGA_CARNE,28,"[10811, 6, 804.3]",2025-04-28 00:00:00,,suzano,abr_25.xlsx
9471,5,599,35,ENTREGA_CARNE,07,"[9471, 5, 599]",2024-08-07 00:00:00,,suzano,ago_24.xlsx
9451,6,400,35,ENTREGA_CARNE,08,"[9451, 6, 400]",2024-08-08 00:00:00,,suzano,ago_24.xlsx
9517,6,770,36,ENTREGA_CARNE,08,"[9517, 6, 770]",2024-08-08 00:00:00,,suzano,ago_24.xlsx
9621,6,360,35,ENTREGA_CARNE,09,"[9621, 6, 360]",2024-08-09 00:00:00,,suzano,ago_24.xlsx
9564,8,800,35,ENTREGA_CARNE,10,"[9564, 8, 800]",2024-08-10 00:00:00,,suzano,ago_24.xlsx
9541,8,1300,36,ENTREGA_CARNE,10,"[9541, 8, 1300]",2024-08-10 00:00:00,,suzano,ago_24.xlsx
9598,6,380,35,ENTREGA_CARNE,12,"[9598, 6, 380]",2024-08-12 00:00:00,,suzano,ago_24.xlsx
9536,6,900,35,ENTREGA_CARNE,14,"[9536, 6, 900]",2024-08-14 00:00:00,,suzano,ago_24.xlsx
9619,6,529,35,ENTREGA_CARNE,17,"[9619, 6, 529]",2024-08-17 00:00:00,,suzano,ago_24.xlsx
9569,3,300,35,ENTREGA_CARNE,19,"[9569, 3, 300]",2024-08-19 00:00:00,,suzano,ago_24.xlsx
9494,6,900,36,ENTREGA_CARNE,19,"[9494, 6, 900]",2024-08-19 00:00:00,,suzano,ago_24.xlsx
9527,5,1500,35,ENTREGA_CARNE,21,"[9527, 5, 1500]",2024-08-21 00:00:00,,suzano,ago_24.xlsx
9642,6,450,36,ENTREGA_CARNE,21,"[9642, 6, 450]",2024-08-21 00:00:00,,suzano,ago_24.xlsx
