os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,vendedor_uuid,vendedor_nome_normalizado,canal_captacao_uuid,canal_captacao_nome,data_processamento,arquivo_origem_processado,loja_id,loja_nome
1094,8,1217.0,35,ENTREGA_CARNE,7,"[1094, 8, 1217]",2025-04-07,Suzano 2,suzano2,abr_25.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1100,4,503.0,35,ENTREGA_CARNE,11,"[1100, 4, 503]",2025-04-11,Suzano 2,suzano2,abr_25.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
966,8,898.0,35,ENTREGA_CARNE,7,"[966, 8, 898]",2024-08-07,,suzano2,ago_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
967,5,300.0,36,ENTREGA_CARNE,7,"[967, 5, 300]",2024-08-07,,suzano2,ago_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
972,7,699.0,35,ENTREGA_CARNE,8,"[972, 7, 699]",2024-08-08,,suzano2,ago_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
969,8,989.0,35,ENTREGA_CARNE,16,"[969, 8, 989]",2024-08-16,,suzano2,ago_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
942,8,784.2,35,ENTREGA_CARNE,30,"[942, 8, 784.2]",2024-08-30,,suzano2,ago_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
811,4,452.0,35,ENTREGA_CARNE,15,"[811, 4, 452]",2023-12-15,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
812,2,226.0,36,ENTREGA_CARNE,15,"[812, 2, 226]",2023-12-15,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
797,4,450.0,37,ENTREGA_CARNE,15,"[797, 4, 450]",2023-12-15,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
820,5,445.0,35,ENTREGA_CARNE,18,"[820, 5, 445]",2023-12-18,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
809,6,1044.0,35,ENTREGA_CARNE,20,"[809, 6, 1044]",2023-12-20,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
824,5,240.0,35,ENTREGA_CARNE,21,"[824, 5, 240]",2023-12-21,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
810,3,210.0,35,ENTREGA_CARNE,22,"[810, 3, 210]",2023-12-22,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
822,8,590.0,35,ENTREGA_CARNE,26,"[822, 8, 590]",2023-12-26,,suzano2,dez_23.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1028,5,1249.0,35,ENTREGA_CARNE,5,"[1028, 5, 1249]",2024-12-05,,suzano2,dez_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1049,2,249.0,35,ENTREGA_CARNE,7,"[1049, 2, 249]",2024-12-07,,suzano2,dez_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1041,3,498.99,35,ENTREGA_CARNE,13,"[1041, 3, 498.99]",2024-12-13,,suzano2,dez_24.xlsx,,,,,2025-10-30 13:42:14.586988,entrega_carne_suzano2_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
