os,parcelas,valor_total,linha_origem,tabela_tipo,aba_origem,valores_brutos,data_movimento,loja_celula,loja_arquivo,arquivo_origem,vendedor_uuid,vendedor_nome_normalizado,canal_captacao_uuid,canal_captacao_nome,data_processamento,arquivo_origem_processado,loja_id,loja_nome
8850,2,182,35,ENTREGA_CARNE,5,"[8850, 2, 182]",2024-04-05 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8847,7,720,35,ENTREGA_CARNE,6,"[8847, 7, 720]",2024-04-06 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8414,3,450,36,ENTREGA_CARNE,6,"[8414, 3, 450]",2024-04-06 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8907,4,50,35,ENTREGA_CARNE,12,"[8907, 4, 50]",2024-04-12 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8985,4,100,36,ENTREGA_CARNE,12,"[8985, 4, 100]",2024-04-12 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8885,5,1500,35,ENTREGA_CARNE,20,"[8885, 5, 1500]",2024-04-20 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8862,9,1426.95,35,ENTREGA_CARNE,22,"[8862, 9, 1426.95]",2024-04-22 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
8996,5,495,35,ENTREGA_CARNE,26,"[8996, 5, 495]",2024-04-26 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9058,7,500,35,ENTREGA_CARNE,29,"[9058, 7, 500]",2024-04-29 00:00:00,,suzano,abr_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10732,6,880,35,ENTREGA_CARNE,4,"[10732, 6, 880]",2025-04-04 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10782,ARIANI,Não,35,ENTREGA_CARNE,12,"[10782, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10803,ARIANI,Não,36,ENTREGA_CARNE,12,"[10803, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10804,ARIANI,Não,37,ENTREGA_CARNE,12,"[10804, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10832,TATY,Não,38,ENTREGA_CARNE,12,"[10832, 'TATY', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10838,ARIANI,Não,39,ENTREGA_CARNE,12,"[10838, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10799,FELIPE,Não,40,ENTREGA_CARNE,12,"[10799, 'FELIPE', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10798,ARIANI,Não,41,ENTREGA_CARNE,12,"[10798, 'ARIANI', 'Não']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
Entrega de Carne,,,43,ENTREGA_CARNE,12,"['Entrega de Carne', '', '']",2025-04-12 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10821,7,349.3,35,ENTREGA_CARNE,25,"[10821, 7, 349.3]",2025-04-25 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
10811,6,804.3,35,ENTREGA_CARNE,28,"[10811, 6, 804.3]",2025-04-28 00:00:00,,suzano,abr_25.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9471,5,599,35,ENTREGA_CARNE,7,"[9471, 5, 599]",2024-08-07 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9451,6,400,35,ENTREGA_CARNE,8,"[9451, 6, 400]",2024-08-08 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9517,6,770,36,ENTREGA_CARNE,8,"[9517, 6, 770]",2024-08-08 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9621,6,360,35,ENTREGA_CARNE,9,"[9621, 6, 360]",2024-08-09 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9564,8,800,35,ENTREGA_CARNE,10,"[9564, 8, 800]",2024-08-10 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
9541,8,1300,36,ENTREGA_CARNE,10,"[9541, 8, 1300]",2024-08-10 00:00:00,,suzano,ago_24.xlsx,,,,,2025-10-30 13:42:14.580893,entrega_carne_suzano_com_uuids_enriquecido_completo,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
