os,parcelas,valor_total,data_movimento,loja_id,loja_nome
618,6,944.0,2024-04-02,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
637,8,800.0,2024-04-12,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
625,10,627.0,2024-04-16,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
346,2,430.0,2023-08-06,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
365,4,600.0,2023-08-15,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
375,5,498.0,2023-08-18,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
346,2,430.0,2023-08-19,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
351,5,540.0,2023-08-22,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
200,6,750.0,2023-08-26,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
361,2,240.0,2023-08-30,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
390,2,200.0,2023-08-31,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
821,6,600.0,2024-08-02,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
818,2,300.0,2024-08-03,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
864,5,499.0,2024-08-30,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
874,7,500.0,2024-08-31,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
521,7,595.0,2023-12-02,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
316,5,430.0,2023-12-05,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
6951,6,810.0,2024-12-16,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
6964,3,270.0,2024-12-30,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
584,5,573.33,2024-02-17,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
585,5,713.34,2024-02-17,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
586,5,63.33,2024-02-17,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
608,6,479.4,2024-02-26,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
521,7,595.0,2024-01-04,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
576,1,100.0,2024-01-23,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
517,9,495.0,2024-01-26,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
499,2,150.0,2024-01-30,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
264,8,400.0,2023-07-06,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
346,2,430.0,2023-07-19,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
230,5,472.5,2023-07-21,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
351,5,540.0,2023-07-22,da3978c9-bba2-431a-91b7-970a406d3acf,PERUS
