os,parcelas,valor_total,data_movimento,loja_id,loja_nome
3486,3,300.0,2024-04-22,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3485,6,1190.0,2024-04-26,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
2979,5,550.0,2023-08-24,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
2984,5,1800.0,2023-08-31,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3644,5,500.0,2024-08-03,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3637,5,540.0,2024-08-09,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3631,1,349.0,2024-08-17,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3179,4,399.0,2023-12-01,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3265,3,385.0,2023-12-13,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3268,5,539.0,2023-12-16,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3271,3,330.0,2023-12-22,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3284,5,623.0,2023-12-23,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3818,3,234.0,2024-12-20,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3803,3,228.0,2024-12-26,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3362,5,420.0,2024-02-05,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3392,3,750.0,2024-02-09,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3415,3,282.0,2024-02-17,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3331,3,349.0,2024-01-06,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
2979,5,550.0,2023-07-24,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3566,4,999.0,2024-07-02,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3592,5,900.0,2024-07-06,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3624,3,399.0,2024-07-18,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3611,6,999.0,2024-07-18,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3609,5,625.0,2024-07-23,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3553,6,690.0,2024-06-19,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3491,2,1115.0,2024-05-08,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3452,6,1134.0,2024-03-22,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3141,3,420.0,2023-11-11,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3175,7,640.0,2023-11-14,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3176,7,450.0,2023-11-14,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3177,7,100.0,2023-11-14,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3199,7,539.0,2023-11-21,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3773,3,268.0,2024-11-09,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3766,2,500.0,2024-11-23,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3104,2,249.0,2023-10-02,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3013,3,300.0,2023-10-07,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3075,6,600.0,2023-10-19,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3118,5,369.0,2023-10-27,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3731,4,400.0,2024-10-05,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3713,2,740.0,2024-10-12,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3733,8,973.0,2024-10-16,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3743,4,490.0,2024-10-22,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3750,3,349.0,2024-10-23,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3752,4,413.0,2024-10-30,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3030,3,199.0,2023-09-14,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3053,2,200.0,2023-09-21,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
2892,5,489.0,2023-09-26,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3077,3,290.0,2023-09-28,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3076,8,1136.0,2023-09-30,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3103,1,128.25,2023-09-30,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
3098,1,230.0,2023-09-30,4e94f51f-3b0f-4e0f-ba73-64982b870f2c,RIO_PEQUENO
