os,parcelas,valor_total,data_movimento,loja_id,loja_nome
1868,9,3150.0,2024-04-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1940,4,200.0,2024-04-17,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1630,8,540.0,2023-08-18,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1635,10,375.0,2023-08-26,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1638,10,375.0,2023-08-26,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1633,8,236.0,2023-08-28,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1660,5,540.0,2023-08-29,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2035,6,613.8,2024-08-09,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2045,1,100.0,2024-08-10,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2038,4,490.0,2024-08-24,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1810,8,600.0,2023-12-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1811,7,1393.0,2023-12-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1812,6,169.0,2023-12-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1813,6,99.0,2023-12-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1813,6,590.0,2023-12-12,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1887,5,250.0,2024-02-21,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1905,5,550.0,2024-02-22,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1986,2,300.0,2024-07-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2000,3,1033.0,2024-07-20,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2003,9,590.0,2024-07-23,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1979,2,400.0,2024-06-15,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1957,9,1053.2,2024-05-15,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1762,3,269.97,2023-11-08,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1784,10,1075.0,2023-11-09,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1788,1,79.99,2023-11-11,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1776,5,415.0,2023-11-13,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1787,2,500.0,2023-11-13,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1804,3,378.0,2023-11-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1802,3,252.0,2023-11-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1789,10,600.0,2023-11-21,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1772,10,600.0,2023-11-21,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1791,3,195.0,2023-11-29,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1783,2,1340.0,2023-11-30,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1737,4,400.0,2023-10-11,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1743,6,450.0,2023-10-13,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1734,7,903.0,2023-10-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1777,6,503.94,2023-10-25,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1754,2,350.0,2023-10-28,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2044,4,350.0,2024-10-01,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1633,4,480.0,2023-09-04,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1708,2,160.0,2023-09-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
1707,2,160.0,2023-09-16,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2065,5,599.0,2024-09-02,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2052,3,395.0,2024-09-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
2053,3,395.0,2024-09-05,1c35e0ad-3066-441e-85cc-44c0eb9b3ab4,SAO_MATEUS
