os,parcelas,valor_total,data_movimento,loja_id,loja_nome
1094,8,1217.0,2025-04-07,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1100,4,503.0,2025-04-11,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
966,8,898.0,2024-08-07,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
967,5,300.0,2024-08-07,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
972,7,699.0,2024-08-08,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
969,8,989.0,2024-08-16,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
942,8,784.2,2024-08-30,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
811,4,452.0,2023-12-15,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
812,2,226.0,2023-12-15,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
797,4,450.0,2023-12-15,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
820,5,445.0,2023-12-18,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
809,6,1044.0,2023-12-20,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
824,5,240.0,2023-12-21,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
810,3,210.0,2023-12-22,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
822,8,590.0,2023-12-26,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1028,5,1249.0,2024-12-05,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1049,2,249.0,2024-12-07,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1041,3,498.99,2024-12-13,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1048,5,649.0,2024-12-14,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1050,6,1090.0,2024-12-14,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1057,4,288.76,2024-12-18,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1059,8,579.0,2024-12-20,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1060,4,289.85,2024-12-21,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
838,2,390.0,2024-02-16,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
964,5,1317.0,2025-02-06,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1052,5,749.0,2025-02-08,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1075,4,453.0,2025-02-11,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1073,5,328.2,2025-02-14,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
807,2,470.0,2024-01-18,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
805,3,660.0,2024-01-18,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
832,5,390.0,2024-01-24,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
840,2,400.0,2024-01-27,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1070,2,100.0,2025-01-17,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1050,6,1089.96,2025-01-28,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
946,10,1765.0,2024-07-03,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
956,5,407.0,2024-07-12,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
953,8,1697.0,2024-07-17,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
952,8,1997.0,2024-07-26,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
928,1,197.0,2024-06-11,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
915,7,1533.0,2024-05-18,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
934,7,449.0,2024-05-31,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
863,4,551.2,2024-03-01,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
864,7,495.18,2024-03-02,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
861,7,1352.0,2024-03-06,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
874,2,477.0,2024-03-08,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
862,1,72.0,2024-03-13,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
871,6,101.7,2024-03-13,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
873,7,825.0,2024-03-15,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
876,4,337.0,2024-03-22,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
881,5,477.0,2024-03-23,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1068,5,727.0,2025-03-15,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1085,5,699.0,2025-03-17,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
788,2,100.0,2023-11-01,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
773,4,470.0,2023-11-09,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
801,3,400.0,2023-11-16,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
768,4,360.0,2023-11-17,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
988,8,924.0,2024-11-07,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1033,5,239.4,2024-11-29,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
757,8,475.0,2023-10-05,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
758,8,425.0,2023-10-05,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
757,8,900.0,2023-10-06,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
774,5,325.0,2023-10-19,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
779,4,270.0,2023-10-25,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
780,4,150.0,2023-10-25,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
781,2,120.0,2023-10-25,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
785,8,850.0,2023-10-27,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
786,8,850.0,2023-10-27,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1001,3,700.0,2024-10-05,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1003,7,513.0,2024-10-29,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1014,5,766.0,2024-10-31,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
1018,5,766.0,2024-10-31,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
988,5,400.0,2024-09-06,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
990,5,667.0,2024-09-16,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
999,5,490.0,2024-09-20,52f92716-d2ba-441a-ac3c-94bdfabd9722,SUZANO
